"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","12","0.0-0.0","5483702ffdf99b24c654b810","5fef55e628823a0076ec12ee","601f447400b8c14a64c0a37e","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","28507","0.0-1.0","5483702ffdf99b24c654b810","5fef55e628823a0076ec12ee","601f447400b8c14a64c0a37e","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","28493.725000007544","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","13","","","","","","","","","","","","","",""
"consent-form","2","60463","0.0-2.0","5483702ffdf99b24c654b810","5fef55e628823a0076ec12ee","601f447400b8c14a64c0a37e","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"keyset-select","3","89849","0.0-3.0","5483702ffdf99b24c654b810","5fef55e628823a0076ec12ee","601f447400b8c14a64c0a37e","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","133699","0.0-4.0","5483702ffdf99b24c654b810","5fef55e628823a0076ec12ee","601f447400b8c14a64c0a37e","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","0","6","1","","","","","","","","","",""
"headphone-backwards-check","5","142298","0.0-5.0","5483702ffdf99b24c654b810","5fef55e628823a0076ec12ee","601f447400b8c14a64c0a37e","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","0","","","","","","","","","","","",""
"training","6","200848","0.0-6.0","5483702ffdf99b24c654b810","5fef55e628823a0076ec12ee","601f447400b8c14a64c0a37e","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"block-bookend","7","211744","0.0-7.0","5483702ffdf99b24c654b810","5fef55e628823a0076ec12ee","601f447400b8c14a64c0a37e","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"echo-presentation","8","218092","0.0-8.0","5483702ffdf99b24c654b810","5fef55e628823a0076ec12ee","601f447400b8c14a64c0a37e","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","0","3932"
"echo-presentation","9","221868","0.0-9.0","5483702ffdf99b24c654b810","5fef55e628823a0076ec12ee","601f447400b8c14a64c0a37e","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","20","1677"
