"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","2","0.0-0.0","5c9166b614a676001791e025","60201dea606b8d5e5aa9e528","60201e958c09205e9b87311c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","2097","0.0-1.0","5c9166b614a676001791e025","60201dea606b8d5e5aa9e528","60201e958c09205e9b87311c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","2095.14499999932","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","13","","","","","","","","","","","","","",""
"consent-form","2","22542","0.0-2.0","5c9166b614a676001791e025","60201dea606b8d5e5aa9e528","60201e958c09205e9b87311c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","47454","0.0-3.0","5c9166b614a676001791e025","60201dea606b8d5e5aa9e528","60201e958c09205e9b87311c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","113130","0.0-4.0","5c9166b614a676001791e025","60201dea606b8d5e5aa9e528","60201e958c09205e9b87311c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","1","6","1","","","","","","","","","",""
"headphone-backwards-check","5","120113","0.0-5.0","5c9166b614a676001791e025","60201dea606b8d5e5aa9e528","60201e958c09205e9b87311c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","190641","0.0-6.0","5c9166b614a676001791e025","60201dea606b8d5e5aa9e528","60201e958c09205e9b87311c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","210889","0.0-7.0","5c9166b614a676001791e025","60201dea606b8d5e5aa9e528","60201e958c09205e9b87311c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","223250","0.0-8.0","5c9166b614a676001791e025","60201dea606b8d5e5aa9e528","60201e958c09205e9b87311c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a70.wav","spherical","20","1","1","matched","70","80","8207"
"echo-presentation","9","228317","0.0-9.0","5c9166b614a676001791e025","60201dea606b8d5e5aa9e528","60201e958c09205e9b87311c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a70.wav","spherical","20","1","1","matched","70","60","3015"
"echo-presentation","10","232689","0.0-10.0","5c9166b614a676001791e025","60201dea606b8d5e5aa9e528","60201e958c09205e9b87311c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a50.wav","spherical","20","1","1","matched","50","60","1823"
