"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","3","0.0-0.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","4411","0.0-1.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","4408","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","13","","","","","","","","","","","","","",""
"consent-form","2","36940","0.0-2.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","105428","0.0-3.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","233243","0.0-4.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","0","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","307803","0.0-5.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","470675","0.0-6.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","484563","0.0-7.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","497789","0.0-8.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a50.wav","spherical","20","10","half","matched","50","70","9872"
"echo-presentation","9","502390","0.0-9.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a80.wav","spherical","20","10","half","matched","80","80","1288"
"echo-presentation","10","505139","0.0-10.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a40.wav","spherical","20","10","half","matched","40","60","1535"
"echo-presentation","11","508648","0.0-11.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a60.wav","spherical","20","10","half","matched","60","70","1446"
"echo-presentation","12","510841","0.0-12.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a60.wav","spherical","20","10","half","matched","60","80","928"
"echo-presentation","13","515183","0.0-13.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a50.wav","spherical","20","10","half","matched","50","60","1192"
"echo-presentation","14","517568","0.0-14.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a70.wav","spherical","20","10","half","matched","70","80","1087"
"echo-presentation","15","520010","0.0-15.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a50.wav","spherical","20","10","half","matched","50","70","1134"
"echo-presentation","16","522286","0.0-16.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a40.wav","spherical","20","10","half","matched","40","60","824"
