"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","6","0.0-0.0","5d35f66eb5aada0016a7d91c","5fef55e628823a0076ec12ee","60200e1970a2325b612a7504","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","2994","0.0-1.0","5d35f66eb5aada0016a7d91c","5fef55e628823a0076ec12ee","60200e1970a2325b612a7504","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","2987","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","13","","","","","","","","","","","","","",""
"consent-form","2","23946","0.0-2.0","5d35f66eb5aada0016a7d91c","5fef55e628823a0076ec12ee","60200e1970a2325b612a7504","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","26747","0.0-3.0","5d35f66eb5aada0016a7d91c","5fef55e628823a0076ec12ee","60200e1970a2325b612a7504","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","74518","0.0-4.0","5d35f66eb5aada0016a7d91c","5fef55e628823a0076ec12ee","60200e1970a2325b612a7504","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","0","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","89534","0.0-5.0","5d35f66eb5aada0016a7d91c","5fef55e628823a0076ec12ee","60200e1970a2325b612a7504","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","186502","0.0-6.0","5d35f66eb5aada0016a7d91c","5fef55e628823a0076ec12ee","60200e1970a2325b612a7504","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","212132","0.0-7.0","5d35f66eb5aada0016a7d91c","5fef55e628823a0076ec12ee","60200e1970a2325b612a7504","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","220142","0.0-8.0","5d35f66eb5aada0016a7d91c","5fef55e628823a0076ec12ee","60200e1970a2325b612a7504","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a40.wav","spherical","20","20","full","matched","40","60","5260"
"echo-presentation","9","226232","0.0-9.0","5d35f66eb5aada0016a7d91c","5fef55e628823a0076ec12ee","60200e1970a2325b612a7504","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a60.wav","spherical","20","20","full","matched","60","70","3365"
