"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","2","0.0-0.0","5d488733da9cb60001aa5895","60201dea606b8d5e5aa9e528","6020225f30812d5d30a4d649","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","34161","0.0-1.0","5d488733da9cb60001aa5895","60201dea606b8d5e5aa9e528","6020225f30812d5d30a4d649","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","34158.66000019014","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","32","","","","","","","","","","","","","",""
"consent-form","2","114503","0.0-2.0","5d488733da9cb60001aa5895","60201dea606b8d5e5aa9e528","6020225f30812d5d30a4d649","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","194077","0.0-3.0","5d488733da9cb60001aa5895","60201dea606b8d5e5aa9e528","6020225f30812d5d30a4d649","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","266865","0.0-4.0","5d488733da9cb60001aa5895","60201dea606b8d5e5aa9e528","6020225f30812d5d30a4d649","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","0","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","277260","0.0-5.0","5d488733da9cb60001aa5895","60201dea606b8d5e5aa9e528","6020225f30812d5d30a4d649","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","424584","0.0-6.0","5d488733da9cb60001aa5895","60201dea606b8d5e5aa9e528","6020225f30812d5d30a4d649","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","438456","0.0-7.0","5d488733da9cb60001aa5895","60201dea606b8d5e5aa9e528","6020225f30812d5d30a4d649","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","447145","0.0-8.0","5d488733da9cb60001aa5895","60201dea606b8d5e5aa9e528","6020225f30812d5d30a4d649","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a0.wav","spherical","20","1","1","matched","0","0","6308"
"echo-presentation","9","452004","0.0-9.0","5d488733da9cb60001aa5895","60201dea606b8d5e5aa9e528","6020225f30812d5d30a4d649","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-20.wav","spherical","20","1","1","matched","-20","-10","3060"
