"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","7","0.0-0.0","5d8cef3c28e183001a335ab0","5fef55e628823a0076ec12ee","601f4758011c834a68bb5fe2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","12866","0.0-1.0","5d8cef3c28e183001a335ab0","5fef55e628823a0076ec12ee","601f4758011c834a68bb5fe2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36","v1","12857.580000068992","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","32","","","","","","","","","","","","","",""
"consent-form","2","72571","0.0-2.0","5d8cef3c28e183001a335ab0","5fef55e628823a0076ec12ee","601f4758011c834a68bb5fe2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"keyset-select","3","108795","0.0-3.0","5d8cef3c28e183001a335ab0","5fef55e628823a0076ec12ee","601f4758011c834a68bb5fe2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36","v1","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","223307","0.0-4.0","5d8cef3c28e183001a335ab0","5fef55e628823a0076ec12ee","601f4758011c834a68bb5fe2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36","v1","","","","","0","6","0.7","","","","","","","","","",""
"headphone-backwards-check","5","236629","0.0-5.0","5d8cef3c28e183001a335ab0","5fef55e628823a0076ec12ee","601f4758011c834a68bb5fe2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36","v1","","","","","1","","","","","","","","","","","",""
"training","6","320595","0.0-6.0","5d8cef3c28e183001a335ab0","5fef55e628823a0076ec12ee","601f4758011c834a68bb5fe2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"block-bookend","7","335079","0.0-7.0","5d8cef3c28e183001a335ab0","5fef55e628823a0076ec12ee","601f4758011c834a68bb5fe2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"echo-presentation","8","343441","0.0-8.0","5d8cef3c28e183001a335ab0","5fef55e628823a0076ec12ee","601f4758011c834a68bb5fe2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a40.wav","spherical","20","20","full","matched","40","70","3598"
"echo-presentation","9","354774","0.0-9.0","5d8cef3c28e183001a335ab0","5fef55e628823a0076ec12ee","601f4758011c834a68bb5fe2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a40.wav","spherical","20","20","full","matched","40","70","8591"
