"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","3","0.0-0.0","5daca079bf590700167f704d","60201dea606b8d5e5aa9e528","6020271f737cd75fd0886943","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","2621","0.0-1.0","5daca079bf590700167f704d","60201dea606b8d5e5aa9e528","6020271f737cd75fd0886943","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","2617.549999966286","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","85","","","","","","","","","","","","","",""
"consent-form","2","17376","0.0-2.0","5daca079bf590700167f704d","60201dea606b8d5e5aa9e528","6020271f737cd75fd0886943","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","42996","0.0-3.0","5daca079bf590700167f704d","60201dea606b8d5e5aa9e528","6020271f737cd75fd0886943","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","91175","0.0-4.0","5daca079bf590700167f704d","60201dea606b8d5e5aa9e528","6020271f737cd75fd0886943","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","1","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","99075","0.0-5.0","5daca079bf590700167f704d","60201dea606b8d5e5aa9e528","6020271f737cd75fd0886943","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","194343","0.0-6.0","5daca079bf590700167f704d","60201dea606b8d5e5aa9e528","6020271f737cd75fd0886943","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","207696","0.0-7.0","5daca079bf590700167f704d","60201dea606b8d5e5aa9e528","6020271f737cd75fd0886943","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","217280","0.0-8.0","5daca079bf590700167f704d","60201dea606b8d5e5aa9e528","6020271f737cd75fd0886943","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a60.wav","spherical","20","1","1","matched","60","50","7384"
"echo-presentation","9","227660","0.0-9.0","5daca079bf590700167f704d","60201dea606b8d5e5aa9e528","6020271f737cd75fd0886943","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a80.wav","spherical","20","1","1","matched","80","70","3408"
"echo-presentation","10","247334","0.0-10.0","5daca079bf590700167f704d","60201dea606b8d5e5aa9e528","6020271f737cd75fd0886943","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a40.wav","spherical","20","1","1","matched","40","50","3318"
"echo-presentation","11","250240","0.0-11.0","5daca079bf590700167f704d","60201dea606b8d5e5aa9e528","6020271f737cd75fd0886943","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a50.wav","spherical","20","1","1","matched","50","80","1739"
"echo-presentation","12","252889","0.0-12.0","5daca079bf590700167f704d","60201dea606b8d5e5aa9e528","6020271f737cd75fd0886943","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a80.wav","spherical","20","1","1","matched","80","70","1576"
