"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","6","0.0-0.0","5de3fa3c81d8213fc6792131","60242478c74f84097a222710","602425ff409736097464bbb0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","1611","0.0-1.0","5de3fa3c81d8213fc6792131","60242478c74f84097a222710","602425ff409736097464bbb0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","1601.9349999260157","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","76","","","","","","","","","","","","","",""
"consent-form","2","36807","0.0-2.0","5de3fa3c81d8213fc6792131","60242478c74f84097a222710","602425ff409736097464bbb0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","63487","0.0-3.0","5de3fa3c81d8213fc6792131","60242478c74f84097a222710","602425ff409736097464bbb0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","141214","0.0-4.0","5de3fa3c81d8213fc6792131","60242478c74f84097a222710","602425ff409736097464bbb0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","0","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","151323","0.0-5.0","5de3fa3c81d8213fc6792131","60242478c74f84097a222710","602425ff409736097464bbb0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","245344","0.0-6.0","5de3fa3c81d8213fc6792131","60242478c74f84097a222710","602425ff409736097464bbb0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","257346","0.0-7.0","5de3fa3c81d8213fc6792131","60242478c74f84097a222710","602425ff409736097464bbb0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","266845","0.0-8.0","5de3fa3c81d8213fc6792131","60242478c74f84097a222710","602425ff409736097464bbb0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-60.wav","spherical","20","10","half","matched","-60","-70","5982"
"echo-presentation","9","271331","0.0-9.0","5de3fa3c81d8213fc6792131","60242478c74f84097a222710","602425ff409736097464bbb0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-70.wav","spherical","20","10","half","matched","-70","-60","2780"
"echo-presentation","10","274643","0.0-10.0","5de3fa3c81d8213fc6792131","60242478c74f84097a222710","602425ff409736097464bbb0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-50.wav","spherical","20","10","half","matched","-50","-50","2240"
"echo-presentation","11","284031","0.0-11.0","5de3fa3c81d8213fc6792131","60242478c74f84097a222710","602425ff409736097464bbb0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-70.wav","spherical","20","10","half","matched","-70","-60","8021"
"echo-presentation","12","287901","0.0-12.0","5de3fa3c81d8213fc6792131","60242478c74f84097a222710","602425ff409736097464bbb0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-70.wav","spherical","20","10","half","matched","-70","-80","1776"
