"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","5","0.0-0.0","5e1cd047cf445f05eef00adb","5fef55e628823a0076ec12ee","601f446edc8ed948b8492cbf","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","35747","0.0-1.0","5e1cd047cf445f05eef00adb","5fef55e628823a0076ec12ee","601f446edc8ed948b8492cbf","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","35739.209999970626","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","17","","","","","","","","","","","","","",""
"consent-form","2","48385","0.0-2.0","5e1cd047cf445f05eef00adb","5fef55e628823a0076ec12ee","601f446edc8ed948b8492cbf","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"keyset-select","3","481106","0.0-3.0","5e1cd047cf445f05eef00adb","5fef55e628823a0076ec12ee","601f446edc8ed948b8492cbf","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","527047","0.0-4.0","5e1cd047cf445f05eef00adb","5fef55e628823a0076ec12ee","601f446edc8ed948b8492cbf","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","0","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","541222","0.0-5.0","5e1cd047cf445f05eef00adb","5fef55e628823a0076ec12ee","601f446edc8ed948b8492cbf","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","0","","","","","","","","","","","",""
"training","6","617486","0.0-6.0","5e1cd047cf445f05eef00adb","5fef55e628823a0076ec12ee","601f446edc8ed948b8492cbf","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"block-bookend","7","629195","0.0-7.0","5e1cd047cf445f05eef00adb","5fef55e628823a0076ec12ee","601f446edc8ed948b8492cbf","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"echo-presentation","8","634068","0.0-8.0","5e1cd047cf445f05eef00adb","5fef55e628823a0076ec12ee","601f446edc8ed948b8492cbf","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a70.wav","spherical","20","20","full","matched","70","70","1381"
"echo-presentation","9","636925","0.0-9.0","5e1cd047cf445f05eef00adb","5fef55e628823a0076ec12ee","601f446edc8ed948b8492cbf","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a40.wav","spherical","20","20","full","matched","40","70","1219"
"echo-presentation","10","640136","0.0-10.0","5e1cd047cf445f05eef00adb","5fef55e628823a0076ec12ee","601f446edc8ed948b8492cbf","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a80.wav","spherical","20","20","full","matched","80","70","1814"
"echo-presentation","11","643952","0.0-11.0","5e1cd047cf445f05eef00adb","5fef55e628823a0076ec12ee","601f446edc8ed948b8492cbf","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a70.wav","spherical","20","20","full","matched","70","80","2421"
"echo-presentation","12","646434","0.0-12.0","5e1cd047cf445f05eef00adb","5fef55e628823a0076ec12ee","601f446edc8ed948b8492cbf","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a80.wav","spherical","20","20","full","matched","80","80","1365"
"echo-presentation","13","648713","0.0-13.0","5e1cd047cf445f05eef00adb","5fef55e628823a0076ec12ee","601f446edc8ed948b8492cbf","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a80.wav","spherical","20","20","full","matched","80","80","1181"
"echo-presentation","14","650893","0.0-14.0","5e1cd047cf445f05eef00adb","5fef55e628823a0076ec12ee","601f446edc8ed948b8492cbf","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a60.wav","spherical","20","20","full","matched","60","80","1186"
"echo-presentation","15","653095","0.0-15.0","5e1cd047cf445f05eef00adb","5fef55e628823a0076ec12ee","601f446edc8ed948b8492cbf","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a50.wav","spherical","20","20","full","matched","50","80","1132"
"echo-presentation","16","655047","0.0-16.0","5e1cd047cf445f05eef00adb","5fef55e628823a0076ec12ee","601f446edc8ed948b8492cbf","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a70.wav","spherical","20","20","full","matched","70","80","1143"
"echo-presentation","17","657184","0.0-17.0","5e1cd047cf445f05eef00adb","5fef55e628823a0076ec12ee","601f446edc8ed948b8492cbf","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a50.wav","spherical","20","20","full","matched","50","80","1205"
"echo-presentation","18","659078","0.0-18.0","5e1cd047cf445f05eef00adb","5fef55e628823a0076ec12ee","601f446edc8ed948b8492cbf","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a50.wav","spherical","20","20","full","matched","50","80","1066"
"echo-presentation","19","660989","0.0-19.0","5e1cd047cf445f05eef00adb","5fef55e628823a0076ec12ee","601f446edc8ed948b8492cbf","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a40.wav","spherical","20","20","full","matched","40","80","1081"
"echo-presentation","20","663050","0.0-20.0","5e1cd047cf445f05eef00adb","5fef55e628823a0076ec12ee","601f446edc8ed948b8492cbf","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a50.wav","spherical","20","20","full","matched","50","80","1109"
"echo-presentation","21","665439","0.0-21.0","5e1cd047cf445f05eef00adb","5fef55e628823a0076ec12ee","601f446edc8ed948b8492cbf","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a60.wav","spherical","20","20","full","matched","60","80","1078"
"echo-presentation","22","667351","0.0-22.0","5e1cd047cf445f05eef00adb","5fef55e628823a0076ec12ee","601f446edc8ed948b8492cbf","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a80.wav","spherical","20","20","full","matched","80","80","1096"
"echo-presentation","23","669334","0.0-23.0","5e1cd047cf445f05eef00adb","5fef55e628823a0076ec12ee","601f446edc8ed948b8492cbf","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a40.wav","spherical","20","20","full","matched","40","80","1172"
"echo-presentation","24","671292","0.0-24.0","5e1cd047cf445f05eef00adb","5fef55e628823a0076ec12ee","601f446edc8ed948b8492cbf","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a60.wav","spherical","20","20","full","matched","60","80","1175"
"echo-presentation","25","673473","0.0-25.0","5e1cd047cf445f05eef00adb","5fef55e628823a0076ec12ee","601f446edc8ed948b8492cbf","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a40.wav","spherical","20","20","full","matched","40","80","1304"
