"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","3","0.0-0.0","5e29e902c2253a0587298e26","5fef55e628823a0076ec12ee","60200e15bc368958338bd3d1","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","47471","0.0-1.0","5e29e902c2253a0587298e26","5fef55e628823a0076ec12ee","60200e15bc368958338bd3d1","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36","v1-up-stims","47466.59500012174","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","32","","","","","","","","","","","","","",""
"consent-form","2","93935","0.0-2.0","5e29e902c2253a0587298e26","5fef55e628823a0076ec12ee","60200e15bc368958338bd3d1","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","156449","0.0-3.0","5e29e902c2253a0587298e26","5fef55e628823a0076ec12ee","60200e15bc368958338bd3d1","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36","v1-up-stims","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","239811","0.0-4.0","5e29e902c2253a0587298e26","5fef55e628823a0076ec12ee","60200e15bc368958338bd3d1","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36","v1-up-stims","","","","","0","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","252393","0.0-5.0","5e29e902c2253a0587298e26","5fef55e628823a0076ec12ee","60200e15bc368958338bd3d1","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","397423","0.0-6.0","5e29e902c2253a0587298e26","5fef55e628823a0076ec12ee","60200e15bc368958338bd3d1","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","420106","0.0-7.0","5e29e902c2253a0587298e26","5fef55e628823a0076ec12ee","60200e15bc368958338bd3d1","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","426937","0.0-8.0","5e29e902c2253a0587298e26","5fef55e628823a0076ec12ee","60200e15bc368958338bd3d1","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-80.wav","spherical","20","20","full","matched","-80","-80","2725"
"echo-presentation","9","432801","0.0-9.0","5e29e902c2253a0587298e26","5fef55e628823a0076ec12ee","60200e15bc368958338bd3d1","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-80.wav","spherical","20","20","full","matched","-80","-70","3651"
