"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","3","0.0-0.0","5e5f992a9efbca000beac9df","60201dea606b8d5e5aa9e528","602031b0101ae060442ef79c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","22670","0.0-1.0","5e5f992a9efbca000beac9df","60201dea606b8d5e5aa9e528","602031b0101ae060442ef79c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","22666.084999975283","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","32","","","","","","","","","","","","","",""
"consent-form","2","59877","0.0-2.0","5e5f992a9efbca000beac9df","60201dea606b8d5e5aa9e528","602031b0101ae060442ef79c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","84789","0.0-3.0","5e5f992a9efbca000beac9df","60201dea606b8d5e5aa9e528","602031b0101ae060442ef79c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","143095","0.0-4.0","5e5f992a9efbca000beac9df","60201dea606b8d5e5aa9e528","602031b0101ae060442ef79c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","0","6","0.7","","","","","","","","","",""
"headphone-backwards-check","5","150511","0.0-5.0","5e5f992a9efbca000beac9df","60201dea606b8d5e5aa9e528","602031b0101ae060442ef79c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","247077","0.0-6.0","5e5f992a9efbca000beac9df","60201dea606b8d5e5aa9e528","602031b0101ae060442ef79c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","267020","0.0-7.0","5e5f992a9efbca000beac9df","60201dea606b8d5e5aa9e528","602031b0101ae060442ef79c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","272268","0.0-8.0","5e5f992a9efbca000beac9df","60201dea606b8d5e5aa9e528","602031b0101ae060442ef79c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-70.wav","spherical","20","1","1","matched","-70","-80","2135"
"echo-presentation","9","276379","0.0-9.0","5e5f992a9efbca000beac9df","60201dea606b8d5e5aa9e528","602031b0101ae060442ef79c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-70.wav","spherical","20","1","1","matched","-70","-80","1870"
"echo-presentation","10","280586","0.0-10.0","5e5f992a9efbca000beac9df","60201dea606b8d5e5aa9e528","602031b0101ae060442ef79c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-40.wav","spherical","20","1","1","matched","-40","-70","1303"
"echo-presentation","11","283798","0.0-11.0","5e5f992a9efbca000beac9df","60201dea606b8d5e5aa9e528","602031b0101ae060442ef79c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-40.wav","spherical","20","1","1","matched","-40","-70","1135"
"echo-presentation","12","286146","0.0-12.0","5e5f992a9efbca000beac9df","60201dea606b8d5e5aa9e528","602031b0101ae060442ef79c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-70.wav","spherical","20","1","1","matched","-70","-70","1250"
"echo-presentation","13","288444","0.0-13.0","5e5f992a9efbca000beac9df","60201dea606b8d5e5aa9e528","602031b0101ae060442ef79c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-70.wav","spherical","20","1","1","matched","-70","-70","1281"
"echo-presentation","14","291397","0.0-14.0","5e5f992a9efbca000beac9df","60201dea606b8d5e5aa9e528","602031b0101ae060442ef79c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-40.wav","spherical","20","1","1","matched","-40","-70","1442"
"echo-presentation","15","293842","0.0-15.0","5e5f992a9efbca000beac9df","60201dea606b8d5e5aa9e528","602031b0101ae060442ef79c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-60.wav","spherical","20","1","1","matched","-60","-70","1375"
"echo-presentation","16","296609","0.0-16.0","5e5f992a9efbca000beac9df","60201dea606b8d5e5aa9e528","602031b0101ae060442ef79c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-60.wav","spherical","20","1","1","matched","-60","-80","1409"
"echo-presentation","17","301293","0.0-17.0","5e5f992a9efbca000beac9df","60201dea606b8d5e5aa9e528","602031b0101ae060442ef79c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-50.wav","spherical","20","1","1","matched","-50","-70","3303"
"echo-presentation","18","303776","0.0-18.0","5e5f992a9efbca000beac9df","60201dea606b8d5e5aa9e528","602031b0101ae060442ef79c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-80.wav","spherical","20","1","1","matched","-80","-70","1223"
"echo-presentation","19","306283","0.0-19.0","5e5f992a9efbca000beac9df","60201dea606b8d5e5aa9e528","602031b0101ae060442ef79c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-80.wav","spherical","20","1","1","matched","-80","-70","1124"
"echo-presentation","20","308795","0.0-20.0","5e5f992a9efbca000beac9df","60201dea606b8d5e5aa9e528","602031b0101ae060442ef79c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-60.wav","spherical","20","1","1","matched","-60","-70","1002"
"echo-presentation","21","311814","0.0-21.0","5e5f992a9efbca000beac9df","60201dea606b8d5e5aa9e528","602031b0101ae060442ef79c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-50.wav","spherical","20","1","1","matched","-50","-70","1413"
"echo-presentation","22","314980","0.0-22.0","5e5f992a9efbca000beac9df","60201dea606b8d5e5aa9e528","602031b0101ae060442ef79c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-40.wav","spherical","20","1","1","matched","-40","-80","967"
"echo-presentation","23","318404","0.0-23.0","5e5f992a9efbca000beac9df","60201dea606b8d5e5aa9e528","602031b0101ae060442ef79c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-50.wav","spherical","20","1","1","matched","-50","-70","1023"
