"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","3","0.0-0.0","5e8723a777cf5a36abbeab60","5fef55e628823a0076ec12ee","60200e1972486e5ada5ff55c","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","2793","0.0-1.0","5e8723a777cf5a36abbeab60","5fef55e628823a0076ec12ee","60200e1972486e5ada5ff55c","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","2789","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","38","","","","","","","","","","","","","",""
"consent-form","2","40798","0.0-2.0","5e8723a777cf5a36abbeab60","5fef55e628823a0076ec12ee","60200e1972486e5ada5ff55c","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","98793","0.0-3.0","5e8723a777cf5a36abbeab60","5fef55e628823a0076ec12ee","60200e1972486e5ada5ff55c","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","211736","0.0-4.0","5e8723a777cf5a36abbeab60","5fef55e628823a0076ec12ee","60200e1972486e5ada5ff55c","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","1","6","0.7","","","","","","","","","",""
"headphone-backwards-check","5","223339","0.0-5.0","5e8723a777cf5a36abbeab60","5fef55e628823a0076ec12ee","60200e1972486e5ada5ff55c","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","358524","0.0-6.0","5e8723a777cf5a36abbeab60","5fef55e628823a0076ec12ee","60200e1972486e5ada5ff55c","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","390666","0.0-7.0","5e8723a777cf5a36abbeab60","5fef55e628823a0076ec12ee","60200e1972486e5ada5ff55c","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","401625","0.0-8.0","5e8723a777cf5a36abbeab60","5fef55e628823a0076ec12ee","60200e1972486e5ada5ff55c","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-40.wav","spherical","20","20","full","matched","-40","-70","7544"
"echo-presentation","9","409899","0.0-9.0","5e8723a777cf5a36abbeab60","5fef55e628823a0076ec12ee","60200e1972486e5ada5ff55c","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-80.wav","spherical","20","20","full","matched","-80","-80","6565"
