"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","3","0.0-0.0","5ea6df209d688606829ac644","5fef55e628823a0076ec12ee","602014e1101ae05c0ba310a0","Mozilla/5.0 (X11; Linux x86_64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","7406","0.0-1.0","5ea6df209d688606829ac644","5fef55e628823a0076ec12ee","602014e1101ae05c0ba310a0","Mozilla/5.0 (X11; Linux x86_64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","7400","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","32","","","","","","","","","","","","","",""
"consent-form","2","77441","0.0-2.0","5ea6df209d688606829ac644","5fef55e628823a0076ec12ee","602014e1101ae05c0ba310a0","Mozilla/5.0 (X11; Linux x86_64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","105188","0.0-3.0","5ea6df209d688606829ac644","5fef55e628823a0076ec12ee","602014e1101ae05c0ba310a0","Mozilla/5.0 (X11; Linux x86_64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","right-hand","","","","","","","","","","","","",""
"headphone-check","4","191820","0.0-4.0","5ea6df209d688606829ac644","5fef55e628823a0076ec12ee","602014e1101ae05c0ba310a0","Mozilla/5.0 (X11; Linux x86_64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","0","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","198763","0.0-5.0","5ea6df209d688606829ac644","5fef55e628823a0076ec12ee","602014e1101ae05c0ba310a0","Mozilla/5.0 (X11; Linux x86_64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","275241","0.0-6.0","5ea6df209d688606829ac644","5fef55e628823a0076ec12ee","602014e1101ae05c0ba310a0","Mozilla/5.0 (X11; Linux x86_64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","283786","0.0-7.0","5ea6df209d688606829ac644","5fef55e628823a0076ec12ee","602014e1101ae05c0ba310a0","Mozilla/5.0 (X11; Linux x86_64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","290408","0.0-8.0","5ea6df209d688606829ac644","5fef55e628823a0076ec12ee","602014e1101ae05c0ba310a0","Mozilla/5.0 (X11; Linux x86_64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","10","4517"
"echo-presentation","9","293385","0.0-9.0","5ea6df209d688606829ac644","5fef55e628823a0076ec12ee","602014e1101ae05c0ba310a0","Mozilla/5.0 (X11; Linux x86_64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-20","1681"
"echo-presentation","10","298248","0.0-10.0","5ea6df209d688606829ac644","5fef55e628823a0076ec12ee","602014e1101ae05c0ba310a0","Mozilla/5.0 (X11; Linux x86_64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","10","3728"
"echo-presentation","11","301584","0.0-11.0","5ea6df209d688606829ac644","5fef55e628823a0076ec12ee","602014e1101ae05c0ba310a0","Mozilla/5.0 (X11; Linux x86_64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","20","1586"
"echo-presentation","12","304680","0.0-12.0","5ea6df209d688606829ac644","5fef55e628823a0076ec12ee","602014e1101ae05c0ba310a0","Mozilla/5.0 (X11; Linux x86_64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","-10","2040"
"echo-presentation","13","309800","0.0-13.0","5ea6df209d688606829ac644","5fef55e628823a0076ec12ee","602014e1101ae05c0ba310a0","Mozilla/5.0 (X11; Linux x86_64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","0","4073"
"echo-presentation","14","312624","0.0-14.0","5ea6df209d688606829ac644","5fef55e628823a0076ec12ee","602014e1101ae05c0ba310a0","Mozilla/5.0 (X11; Linux x86_64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-20","1521"
"echo-presentation","15","315705","0.0-15.0","5ea6df209d688606829ac644","5fef55e628823a0076ec12ee","602014e1101ae05c0ba310a0","Mozilla/5.0 (X11; Linux x86_64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","-10","1817"
"echo-presentation","16","318632","0.0-16.0","5ea6df209d688606829ac644","5fef55e628823a0076ec12ee","602014e1101ae05c0ba310a0","Mozilla/5.0 (X11; Linux x86_64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-10","1651"
