"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","2","0.0-0.0","5eacb823eb3ceb32de9b6df3","5fef55e628823a0076ec12ee","602026fb92f028605f9e8e99","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","23684","0.0-1.0","5eacb823eb3ceb32de9b6df3","5fef55e628823a0076ec12ee","602026fb92f028605f9e8e99","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","23680.90499995742","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","83","","","","","","","","","","","","","",""
"consent-form","2","316481","0.0-2.0","5eacb823eb3ceb32de9b6df3","5fef55e628823a0076ec12ee","602026fb92f028605f9e8e99","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","341058","0.0-3.0","5eacb823eb3ceb32de9b6df3","5fef55e628823a0076ec12ee","602026fb92f028605f9e8e99","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","404343","0.0-4.0","5eacb823eb3ceb32de9b6df3","5fef55e628823a0076ec12ee","602026fb92f028605f9e8e99","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","","","","","0","6","0.7","","","","","","","","","",""
"headphone-backwards-check","5","412935","0.0-5.0","5eacb823eb3ceb32de9b6df3","5fef55e628823a0076ec12ee","602026fb92f028605f9e8e99","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","529571","0.0-6.0","5eacb823eb3ceb32de9b6df3","5fef55e628823a0076ec12ee","602026fb92f028605f9e8e99","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","545690","0.0-7.0","5eacb823eb3ceb32de9b6df3","5fef55e628823a0076ec12ee","602026fb92f028605f9e8e99","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","558646","0.0-8.0","5eacb823eb3ceb32de9b6df3","5fef55e628823a0076ec12ee","602026fb92f028605f9e8e99","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a50.wav","spherical","20","20","full","matched","50","80","9969"
"echo-presentation","9","564856","0.0-9.0","5eacb823eb3ceb32de9b6df3","5fef55e628823a0076ec12ee","602026fb92f028605f9e8e99","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a70.wav","spherical","20","20","full","matched","70","80","4768"
