"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","2","0.0-0.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","2259","0.0-1.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","2256.5200000535697","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","13","","","","","","","","","","","","","",""
"consent-form","2","67013","0.0-2.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","","","","","","","","","",""
"keyset-select","3","93113","0.0-3.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","132743","0.0-4.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","0","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","139583","0.0-5.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","0","","","","","","","","","","","",""
"training","6","206152","0.0-6.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","","","","","","","","","",""
"block-bookend","7","217400","0.0-7.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","","","","","","","","","",""
"echo-presentation","8","222412","0.0-8.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","-20","2034"
"echo-presentation","9","228086","0.0-9.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","-10","4259"
"echo-presentation","10","228090","0.0-10.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","0","4260"
"echo-presentation","11","231511","0.0-11.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","0","1949"
"echo-presentation","12","234772","0.0-12.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","10","1982"
"echo-presentation","13","237152","0.0-13.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-20","1105"
"echo-presentation","14","239949","0.0-14.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","-10","1727"
"echo-presentation","15","242291","0.0-15.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","-10","1442"
"echo-presentation","16","244637","0.0-16.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","0","1339"
"echo-presentation","17","247132","0.0-17.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-10","1544"
"echo-presentation","18","249382","0.0-18.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","10","1315"
"echo-presentation","19","251571","0.0-19.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","10","1203"
"echo-presentation","20","253815","0.0-20.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","-20","1378"
"echo-presentation","21","256733","0.0-21.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","-10","2103"
"echo-presentation","22","258617","0.0-22.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-10","1151"
"echo-presentation","23","266259","0.0-23.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","0","6340"
"echo-presentation","24","268782","0.0-24.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-10","1773"
"echo-presentation","25","271397","0.0-25.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","-20","1800"
"echo-presentation","26","273959","0.0-26.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","0","1864"
"echo-presentation","27","276362","0.0-27.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","0","1573"
"block-bookend","28","277534","0.0-28.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","","","","","","","","","",""
"block-bookend","29","283465","0.0-29.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","","","","","","","","","",""
"echo-presentation","30","288410","0.0-30.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","-20","3455"
"echo-presentation","31","290769","0.0-31.0","5eaeba4b21554758db3e37a7","5fef55e628823a0076ec12ee","601f446d50c89e473ff20115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","10","1441"
