"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","3","0.0-0.0","5ebc3cc7adb5e706b8021deb","5fef55e628823a0076ec12ee","601f447aa5824c48a7ac46cd","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","14839","0.0-1.0","5ebc3cc7adb5e706b8021deb","5fef55e628823a0076ec12ee","601f447aa5824c48a7ac46cd","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","14834.335000006831","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","32","","","","","","","","","","","","","",""
"consent-form","2","18726","0.0-2.0","5ebc3cc7adb5e706b8021deb","5fef55e628823a0076ec12ee","601f447aa5824c48a7ac46cd","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"keyset-select","3","47838","0.0-3.0","5ebc3cc7adb5e706b8021deb","5fef55e628823a0076ec12ee","601f447aa5824c48a7ac46cd","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","130455","0.0-4.0","5ebc3cc7adb5e706b8021deb","5fef55e628823a0076ec12ee","601f447aa5824c48a7ac46cd","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","0","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","139601","0.0-5.0","5ebc3cc7adb5e706b8021deb","5fef55e628823a0076ec12ee","601f447aa5824c48a7ac46cd","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","0","","","","","","","","","","","",""
"training","6","245437","0.0-6.0","5ebc3cc7adb5e706b8021deb","5fef55e628823a0076ec12ee","601f447aa5824c48a7ac46cd","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"block-bookend","7","295490","0.0-7.0","5ebc3cc7adb5e706b8021deb","5fef55e628823a0076ec12ee","601f447aa5824c48a7ac46cd","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"echo-presentation","8","306016","0.0-8.0","5ebc3cc7adb5e706b8021deb","5fef55e628823a0076ec12ee","601f447aa5824c48a7ac46cd","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a80.wav","spherical","20","20","full","matched","80","70","3506"
"echo-presentation","9","313190","0.0-9.0","5ebc3cc7adb5e706b8021deb","5fef55e628823a0076ec12ee","601f447aa5824c48a7ac46cd","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a40.wav","spherical","20","20","full","matched","40","70","5560"
