"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","7","0.0-0.0","5ebd676b0ee54a0379a10188","5fef55e628823a0076ec12ee","60201d3d39a8965a4b0e2ff6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","66637","0.0-1.0","5ebd676b0ee54a0379a10188","5fef55e628823a0076ec12ee","60201d3d39a8965a4b0e2ff6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","66628.50000000071","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","68","","","","","","","","","","","","","",""
"consent-form","2","113923","0.0-2.0","5ebd676b0ee54a0379a10188","5fef55e628823a0076ec12ee","60201d3d39a8965a4b0e2ff6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","132718","0.0-3.0","5ebd676b0ee54a0379a10188","5fef55e628823a0076ec12ee","60201d3d39a8965a4b0e2ff6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","270050","0.0-4.0","5ebd676b0ee54a0379a10188","5fef55e628823a0076ec12ee","60201d3d39a8965a4b0e2ff6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","1","6","1","","","","","","","","","",""
"headphone-backwards-check","5","289546","0.0-5.0","5ebd676b0ee54a0379a10188","5fef55e628823a0076ec12ee","60201d3d39a8965a4b0e2ff6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","2473346","0.0-6.0","5ebd676b0ee54a0379a10188","5fef55e628823a0076ec12ee","60201d3d39a8965a4b0e2ff6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","2488261","0.0-7.0","5ebd676b0ee54a0379a10188","5fef55e628823a0076ec12ee","60201d3d39a8965a4b0e2ff6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","2495790","0.0-8.0","5ebd676b0ee54a0379a10188","5fef55e628823a0076ec12ee","60201d3d39a8965a4b0e2ff6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-20","5203"
"echo-presentation","9","2506762","0.0-9.0","5ebd676b0ee54a0379a10188","5fef55e628823a0076ec12ee","60201d3d39a8965a4b0e2ff6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","10","9259"
"echo-presentation","10","2511468","0.0-10.0","5ebd676b0ee54a0379a10188","5fef55e628823a0076ec12ee","60201d3d39a8965a4b0e2ff6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","-20","2485"
"echo-presentation","11","2516580","0.0-11.0","5ebd676b0ee54a0379a10188","5fef55e628823a0076ec12ee","60201d3d39a8965a4b0e2ff6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","20","2241"
"echo-presentation","12","2521549","0.0-12.0","5ebd676b0ee54a0379a10188","5fef55e628823a0076ec12ee","60201d3d39a8965a4b0e2ff6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","20","2331"
"echo-presentation","13","2525953","0.0-13.0","5ebd676b0ee54a0379a10188","5fef55e628823a0076ec12ee","60201d3d39a8965a4b0e2ff6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","10","2860"
"echo-presentation","14","2529627","0.0-14.0","5ebd676b0ee54a0379a10188","5fef55e628823a0076ec12ee","60201d3d39a8965a4b0e2ff6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-20","1395"
"echo-presentation","15","2534703","0.0-15.0","5ebd676b0ee54a0379a10188","5fef55e628823a0076ec12ee","60201d3d39a8965a4b0e2ff6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","20","2142"
"echo-presentation","16","2537317","0.0-16.0","5ebd676b0ee54a0379a10188","5fef55e628823a0076ec12ee","60201d3d39a8965a4b0e2ff6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","20","1295"
"echo-presentation","17","2539510","0.0-17.0","5ebd676b0ee54a0379a10188","5fef55e628823a0076ec12ee","60201d3d39a8965a4b0e2ff6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-20","1101"
"echo-presentation","18","2542234","0.0-18.0","5ebd676b0ee54a0379a10188","5fef55e628823a0076ec12ee","60201d3d39a8965a4b0e2ff6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","-10","1811"
"echo-presentation","19","2546179","0.0-19.0","5ebd676b0ee54a0379a10188","5fef55e628823a0076ec12ee","60201d3d39a8965a4b0e2ff6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","10","2728"
"echo-presentation","20","2548742","0.0-20.0","5ebd676b0ee54a0379a10188","5fef55e628823a0076ec12ee","60201d3d39a8965a4b0e2ff6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","-20","1547"
"echo-presentation","21","2551027","0.0-21.0","5ebd676b0ee54a0379a10188","5fef55e628823a0076ec12ee","60201d3d39a8965a4b0e2ff6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-20","1032"
"echo-presentation","22","2555158","0.0-22.0","5ebd676b0ee54a0379a10188","5fef55e628823a0076ec12ee","60201d3d39a8965a4b0e2ff6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","-10","2447"
"echo-presentation","23","2557718","0.0-23.0","5ebd676b0ee54a0379a10188","5fef55e628823a0076ec12ee","60201d3d39a8965a4b0e2ff6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","-20","1445"
