"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","2","0.0-0.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","30064","0.0-1.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","30060.984999872744","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","32","","","","","","","","","","","","","",""
"consent-form","2","84650","0.0-2.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","145759","0.0-3.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","203282","0.0-4.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","0","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","214392","0.0-5.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","334905","0.0-6.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","349178","0.0-7.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","355303","0.0-8.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-80.wav","spherical","20","1","1","matched","-80","-70","3449"
"echo-presentation","9","359097","0.0-9.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-70.wav","spherical","20","1","1","matched","-70","-80","2187"
"echo-presentation","10","364311","0.0-10.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-60.wav","spherical","20","1","1","matched","-60","-60","3804"
"echo-presentation","11","367417","0.0-11.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-80.wav","spherical","20","1","1","matched","-80","-70","1786"
"echo-presentation","12","377329","0.0-12.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-60.wav","spherical","20","1","1","matched","-60","-70","8736"
"echo-presentation","13","386741","0.0-13.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-80.wav","spherical","20","1","1","matched","-80","-60","2633"
"echo-presentation","14","390576","0.0-14.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-50.wav","spherical","20","1","1","matched","-50","-70","2310"
"echo-presentation","15","393185","0.0-15.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-40.wav","spherical","20","1","1","matched","-40","-80","1238"
"echo-presentation","16","396069","0.0-16.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-70.wav","spherical","20","1","1","matched","-70","-80","1825"
"echo-presentation","17","399237","0.0-17.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-70.wav","spherical","20","1","1","matched","-70","-80","2090"
"echo-presentation","18","401544","0.0-18.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-70.wav","spherical","20","1","1","matched","-70","-70","1196"
"echo-presentation","19","404857","0.0-19.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-50.wav","spherical","20","1","1","matched","-50","-70","2137"
"echo-presentation","20","408205","0.0-20.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-50.wav","spherical","20","1","1","matched","-50","-60","2298"
"echo-presentation","21","410955","0.0-21.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-40.wav","spherical","20","1","1","matched","-40","-70","1810"
"echo-presentation","22","413400","0.0-22.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-60.wav","spherical","20","1","1","matched","-60","-70","1542"
"echo-presentation","23","416169","0.0-23.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-40.wav","spherical","20","1","1","matched","-40","-80","1744"
"echo-presentation","24","418630","0.0-24.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-60.wav","spherical","20","1","1","matched","-60","-70","1611"
"echo-presentation","25","421253","0.0-25.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-50.wav","spherical","20","1","1","matched","-50","-80","1645"
"echo-presentation","26","423701","0.0-26.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-40.wav","spherical","20","1","1","matched","-40","-80","1269"
"echo-presentation","27","425882","0.0-27.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-80.wav","spherical","20","1","1","matched","-80","-80","1042"
"block-bookend","28","430054","0.0-28.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","29","447584","0.0-29.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","30","453324","0.0-30.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-70.wav","spherical","20","1","1","matched","-70","-60","3621"
"echo-presentation","31","456531","0.0-31.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-40.wav","spherical","20","1","1","matched","-40","-60","1923"
"echo-presentation","32","458703","0.0-32.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-70.wav","spherical","20","1","1","matched","-70","-50","1191"
"echo-presentation","33","460979","0.0-33.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-80.wav","spherical","20","1","1","matched","-80","-70","1289"
"echo-presentation","34","463491","0.0-34.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-60.wav","spherical","20","1","1","matched","-60","-70","1439"
"echo-presentation","35","467129","0.0-35.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-40.wav","spherical","20","1","1","matched","-40","-70","2247"
"echo-presentation","36","472520","0.0-36.0","5ee90152ce51c4136b6646cd","60201dea606b8d5e5aa9e528","60202260bbecc35e6d85a850","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-50.wav","spherical","20","1","1","matched","-50","-70","2189"
