"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","3","0.0-0.0","5ee93a8aa43b042d2529faec","60201dea606b8d5e5aa9e528","6020271ecaa62b5f5293ae07","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","2196","0.0-1.0","5ee93a8aa43b042d2529faec","60201dea606b8d5e5aa9e528","6020271ecaa62b5f5293ae07","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","2191.9700000144076","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","13","","","","","","","","","","","","","",""
"consent-form","2","9087","0.0-2.0","5ee93a8aa43b042d2529faec","60201dea606b8d5e5aa9e528","6020271ecaa62b5f5293ae07","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","188846","0.0-3.0","5ee93a8aa43b042d2529faec","60201dea606b8d5e5aa9e528","6020271ecaa62b5f5293ae07","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","227869","0.0-4.0","5ee93a8aa43b042d2529faec","60201dea606b8d5e5aa9e528","6020271ecaa62b5f5293ae07","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","1","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","236051","0.0-5.0","5ee93a8aa43b042d2529faec","60201dea606b8d5e5aa9e528","6020271ecaa62b5f5293ae07","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","287804","0.0-6.0","5ee93a8aa43b042d2529faec","60201dea606b8d5e5aa9e528","6020271ecaa62b5f5293ae07","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","298077","0.0-7.0","5ee93a8aa43b042d2529faec","60201dea606b8d5e5aa9e528","6020271ecaa62b5f5293ae07","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","304390","0.0-8.0","5ee93a8aa43b042d2529faec","60201dea606b8d5e5aa9e528","6020271ecaa62b5f5293ae07","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a20.wav","spherical","20","1","1","matched","20","10","3847"
"echo-presentation","9","307964","0.0-9.0","5ee93a8aa43b042d2529faec","60201dea606b8d5e5aa9e528","6020271ecaa62b5f5293ae07","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a20.wav","spherical","20","1","1","matched","20","0","1901"
