"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","3","0.0-0.0","5eea402f14742d0999b3410e","60201dea606b8d5e5aa9e528","60201ebc4bbde55dccc7fd57","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","7150","0.0-1.0","5eea402f14742d0999b3410e","60201dea606b8d5e5aa9e528","60201ebc4bbde55dccc7fd57","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","7146.475000074133","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","220","","","","","","","","","","","","","",""
"consent-form","2","19482","0.0-2.0","5eea402f14742d0999b3410e","60201dea606b8d5e5aa9e528","60201ebc4bbde55dccc7fd57","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","39429","0.0-3.0","5eea402f14742d0999b3410e","60201dea606b8d5e5aa9e528","60201ebc4bbde55dccc7fd57","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","80337","0.0-4.0","5eea402f14742d0999b3410e","60201dea606b8d5e5aa9e528","60201ebc4bbde55dccc7fd57","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","1","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","88320","0.0-5.0","5eea402f14742d0999b3410e","60201dea606b8d5e5aa9e528","60201ebc4bbde55dccc7fd57","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","149342","0.0-6.0","5eea402f14742d0999b3410e","60201dea606b8d5e5aa9e528","60201ebc4bbde55dccc7fd57","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","156081","0.0-7.0","5eea402f14742d0999b3410e","60201dea606b8d5e5aa9e528","60201ebc4bbde55dccc7fd57","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","162978","0.0-8.0","5eea402f14742d0999b3410e","60201dea606b8d5e5aa9e528","60201ebc4bbde55dccc7fd57","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a0.wav","spherical","20","1","1","matched","0","0","4530"
"echo-presentation","9","173523","0.0-9.0","5eea402f14742d0999b3410e","60201dea606b8d5e5aa9e528","60201ebc4bbde55dccc7fd57","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a20.wav","spherical","20","1","1","matched","20","0","9252"
"echo-presentation","10","177652","0.0-10.0","5eea402f14742d0999b3410e","60201dea606b8d5e5aa9e528","60201ebc4bbde55dccc7fd57","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a20.wav","spherical","20","1","1","matched","20","10","2772"
"echo-presentation","11","182693","0.0-11.0","5eea402f14742d0999b3410e","60201dea606b8d5e5aa9e528","60201ebc4bbde55dccc7fd57","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-20.wav","spherical","20","1","1","matched","-20","10","3848"
"echo-presentation","12","186140","0.0-12.0","5eea402f14742d0999b3410e","60201dea606b8d5e5aa9e528","60201ebc4bbde55dccc7fd57","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a0.wav","spherical","20","1","1","matched","0","0","2228"
"echo-presentation","13","188691","0.0-13.0","5eea402f14742d0999b3410e","60201dea606b8d5e5aa9e528","60201ebc4bbde55dccc7fd57","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a0.wav","spherical","20","1","1","matched","0","0","1434"
"echo-presentation","14","191759","0.0-14.0","5eea402f14742d0999b3410e","60201dea606b8d5e5aa9e528","60201ebc4bbde55dccc7fd57","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-10.wav","spherical","20","1","1","matched","-10","-10","2023"
"echo-presentation","15","194368","0.0-15.0","5eea402f14742d0999b3410e","60201dea606b8d5e5aa9e528","60201ebc4bbde55dccc7fd57","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-10.wav","spherical","20","1","1","matched","-10","-10","1541"
"echo-presentation","16","196791","0.0-16.0","5eea402f14742d0999b3410e","60201dea606b8d5e5aa9e528","60201ebc4bbde55dccc7fd57","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a10.wav","spherical","20","1","1","matched","10","10","1511"
"echo-presentation","17","199257","0.0-17.0","5eea402f14742d0999b3410e","60201dea606b8d5e5aa9e528","60201ebc4bbde55dccc7fd57","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-10.wav","spherical","20","1","1","matched","-10","-10","1511"
"echo-presentation","18","201696","0.0-18.0","5eea402f14742d0999b3410e","60201dea606b8d5e5aa9e528","60201ebc4bbde55dccc7fd57","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a20.wav","spherical","20","1","1","matched","20","10","1480"
"echo-presentation","19","204679","0.0-19.0","5eea402f14742d0999b3410e","60201dea606b8d5e5aa9e528","60201ebc4bbde55dccc7fd57","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a0.wav","spherical","20","1","1","matched","0","0","2038"
"echo-presentation","20","207107","0.0-20.0","5eea402f14742d0999b3410e","60201dea606b8d5e5aa9e528","60201ebc4bbde55dccc7fd57","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-20.wav","spherical","20","1","1","matched","-20","0","1503"
"echo-presentation","21","209824","0.0-21.0","5eea402f14742d0999b3410e","60201dea606b8d5e5aa9e528","60201ebc4bbde55dccc7fd57","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-20.wav","spherical","20","1","1","matched","-20","0","1595"
"echo-presentation","22","212089","0.0-22.0","5eea402f14742d0999b3410e","60201dea606b8d5e5aa9e528","60201ebc4bbde55dccc7fd57","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a10.wav","spherical","20","1","1","matched","10","10","1183"
