"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","4","0.0-0.0","5eedec89a08bcd222d7c447c","5fef55e628823a0076ec12ee","60200e1630f3af57b4580a48","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","63704","0.0-1.0","5eedec89a08bcd222d7c447c","5fef55e628823a0076ec12ee","60200e1630f3af57b4580a48","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","63698.42500000959","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","32","","","","","","","","","","","","","",""
"consent-form","2","197345","0.0-2.0","5eedec89a08bcd222d7c447c","5fef55e628823a0076ec12ee","60200e1630f3af57b4580a48","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","253172","0.0-3.0","5eedec89a08bcd222d7c447c","5fef55e628823a0076ec12ee","60200e1630f3af57b4580a48","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","331117","0.0-4.0","5eedec89a08bcd222d7c447c","5fef55e628823a0076ec12ee","60200e1630f3af57b4580a48","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","0","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","345035","0.0-5.0","5eedec89a08bcd222d7c447c","5fef55e628823a0076ec12ee","60200e1630f3af57b4580a48","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","460002","0.0-6.0","5eedec89a08bcd222d7c447c","5fef55e628823a0076ec12ee","60200e1630f3af57b4580a48","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","525527","0.0-7.0","5eedec89a08bcd222d7c447c","5fef55e628823a0076ec12ee","60200e1630f3af57b4580a48","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","536854","0.0-8.0","5eedec89a08bcd222d7c447c","5fef55e628823a0076ec12ee","60200e1630f3af57b4580a48","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a60.wav","spherical","20","20","full","matched","60","50","3572"
"echo-presentation","9","543186","0.0-9.0","5eedec89a08bcd222d7c447c","5fef55e628823a0076ec12ee","60200e1630f3af57b4580a48","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a60.wav","spherical","20","20","full","matched","60","50","4343"
