"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","8","0.0-0.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","2859","0.0-1.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","2850","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","222","","","","","","","","","","","","","",""
"consent-form","2","44974","0.0-2.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","68682","0.0-3.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","139015","0.0-4.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","0","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","146188","0.0-5.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","230613","0.0-6.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","249278","0.0-7.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","256622","0.0-8.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a70.wav","spherical","20","10","half","matched","70","60","4309"
"echo-presentation","9","260382","0.0-9.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a70.wav","spherical","20","10","half","matched","70","50","2022"
"echo-presentation","10","266583","0.0-10.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a50.wav","spherical","20","10","half","matched","50","40","3486"
"echo-presentation","11","272103","0.0-11.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a50.wav","spherical","20","10","half","matched","50","70","2616"
"echo-presentation","12","278268","0.0-12.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a60.wav","spherical","20","10","half","matched","60","60","4263"
"echo-presentation","13","282753","0.0-13.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a70.wav","spherical","20","10","half","matched","70","80","2561"
"echo-presentation","14","286512","0.0-14.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a40.wav","spherical","20","10","half","matched","40","50","2035"
"echo-presentation","15","291762","0.0-15.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a60.wav","spherical","20","10","half","matched","60","40","2737"
"echo-presentation","16","296027","0.0-16.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a80.wav","spherical","20","10","half","matched","80","50","2089"
"echo-presentation","17","301113","0.0-17.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a40.wav","spherical","20","10","half","matched","40","70","2131"
"echo-presentation","18","304578","0.0-18.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a50.wav","spherical","20","10","half","matched","50","80","1491"
"echo-presentation","19","308352","0.0-19.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a80.wav","spherical","20","10","half","matched","80","80","2639"
"echo-presentation","20","311447","0.0-20.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a40.wav","spherical","20","10","half","matched","40","70","1797"
"echo-presentation","21","316742","0.0-21.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a60.wav","spherical","20","10","half","matched","60","60","2179"
"echo-presentation","22","322262","0.0-22.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a50.wav","spherical","20","10","half","matched","50","40","2082"
"echo-presentation","23","327213","0.0-23.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a40.wav","spherical","20","10","half","matched","40","50","2208"
"echo-presentation","24","331127","0.0-24.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a80.wav","spherical","20","10","half","matched","80","70","1880"
"echo-presentation","25","334350","0.0-25.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a60.wav","spherical","20","10","half","matched","60","70","1879"
"echo-presentation","26","339067","0.0-26.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a80.wav","spherical","20","10","half","matched","80","80","3033"
"echo-presentation","27","342283","0.0-27.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a70.wav","spherical","20","10","half","matched","70","60","2012"
"block-bookend","28","347240","0.0-28.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","29","363871","0.0-29.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","30","368402","0.0-30.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a60.wav","spherical","20","10","half","matched","60","40","2108"
"echo-presentation","31","371368","0.0-31.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a50.wav","spherical","20","10","half","matched","50","50","1536"
"echo-presentation","32","377492","0.0-32.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a60.wav","spherical","20","10","half","matched","60","60","3991"
"echo-presentation","33","386168","0.0-33.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a80.wav","spherical","20","10","half","matched","80","70","7126"
"echo-presentation","34","391582","0.0-34.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a40.wav","spherical","20","10","half","matched","40","80","3955"
"echo-presentation","35","395333","0.0-35.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a40.wav","spherical","20","10","half","matched","40","80","2413"
"echo-presentation","36","399642","0.0-36.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a50.wav","spherical","20","10","half","matched","50","70","2964"
"echo-presentation","37","404333","0.0-37.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a60.wav","spherical","20","10","half","matched","60","60","3098"
"echo-presentation","38","407242","0.0-38.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a80.wav","spherical","20","10","half","matched","80","80","1585"
"echo-presentation","39","409788","0.0-39.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a40.wav","spherical","20","10","half","matched","40","80","1658"
"echo-presentation","40","413137","0.0-40.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a70.wav","spherical","20","10","half","matched","70","70","2380"
"echo-presentation","41","421273","0.0-41.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a80.wav","spherical","20","10","half","matched","80","70","6548"
"echo-presentation","42","424315","0.0-42.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a70.wav","spherical","20","10","half","matched","70","80","1873"
"echo-presentation","43","427982","0.0-43.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a40.wav","spherical","20","10","half","matched","40","50","2432"
"echo-presentation","44","431697","0.0-44.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a50.wav","spherical","20","10","half","matched","50","80","2114"
"echo-presentation","45","434083","0.0-45.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a60.wav","spherical","20","10","half","matched","60","80","1437"
"echo-presentation","46","442052","0.0-46.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a70.wav","spherical","20","10","half","matched","70","70","6613"
"echo-presentation","47","444473","0.0-47.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a70.wav","spherical","20","10","half","matched","70","80","1456"
"echo-presentation","48","450113","0.0-48.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a50.wav","spherical","20","10","half","matched","50","60","4789"
"echo-presentation","49","453863","0.0-49.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a80.wav","spherical","20","10","half","matched","80","80","1623"
"block-bookend","50","457145","0.0-50.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","51","466071","0.0-51.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","52","469922","0.0-52.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-60.wav","spherical","20","10","half","matched","-60","-70","2083"
"echo-presentation","53","472752","0.0-53.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-40.wav","spherical","20","10","half","matched","-40","-80","1561"
"echo-presentation","54","475462","0.0-54.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-80.wav","spherical","20","10","half","matched","-80","-80","1728"
"echo-presentation","55","478167","0.0-55.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-40.wav","spherical","20","10","half","matched","-40","-80","1596"
