"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","3","0.0-0.0","5f3d8b0bd9a75c164958578a","60201dea606b8d5e5aa9e528","6020225cef1d8d5ade433343","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 Edg/88.0.705.63","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","14537","0.0-1.0","5f3d8b0bd9a75c164958578a","60201dea606b8d5e5aa9e528","6020225cef1d8d5ade433343","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 Edg/88.0.705.63","v1-up-stims","14534.110000007786","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","13","","","","","","","","","","","","","",""
"consent-form","2","24590","0.0-2.0","5f3d8b0bd9a75c164958578a","60201dea606b8d5e5aa9e528","6020225cef1d8d5ade433343","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 Edg/88.0.705.63","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","50648","0.0-3.0","5f3d8b0bd9a75c164958578a","60201dea606b8d5e5aa9e528","6020225cef1d8d5ade433343","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 Edg/88.0.705.63","v1-up-stims","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","93939","0.0-4.0","5f3d8b0bd9a75c164958578a","60201dea606b8d5e5aa9e528","6020225cef1d8d5ade433343","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 Edg/88.0.705.63","v1-up-stims","","","","","0","6","0.7","","","","","","","","","",""
"headphone-backwards-check","5","102237","0.0-5.0","5f3d8b0bd9a75c164958578a","60201dea606b8d5e5aa9e528","6020225cef1d8d5ade433343","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 Edg/88.0.705.63","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","152352","0.0-6.0","5f3d8b0bd9a75c164958578a","60201dea606b8d5e5aa9e528","6020225cef1d8d5ade433343","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 Edg/88.0.705.63","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","161423","0.0-7.0","5f3d8b0bd9a75c164958578a","60201dea606b8d5e5aa9e528","6020225cef1d8d5ade433343","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 Edg/88.0.705.63","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","165275","0.0-8.0","5f3d8b0bd9a75c164958578a","60201dea606b8d5e5aa9e528","6020225cef1d8d5ade433343","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 Edg/88.0.705.63","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a70.wav","spherical","20","1","1","matched","70","80","1572"
"echo-presentation","9","170506","0.0-9.0","5f3d8b0bd9a75c164958578a","60201dea606b8d5e5aa9e528","6020225cef1d8d5ade433343","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 Edg/88.0.705.63","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a50.wav","spherical","20","1","1","matched","50","80","3726"
"echo-presentation","10","173159","0.0-10.0","5f3d8b0bd9a75c164958578a","60201dea606b8d5e5aa9e528","6020225cef1d8d5ade433343","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 Edg/88.0.705.63","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a40.wav","spherical","20","1","1","matched","40","80","1549"
"echo-presentation","11","175987","0.0-11.0","5f3d8b0bd9a75c164958578a","60201dea606b8d5e5aa9e528","6020225cef1d8d5ade433343","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 Edg/88.0.705.63","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a80.wav","spherical","20","1","1","matched","80","80","1574"
"echo-presentation","12","178626","0.0-12.0","5f3d8b0bd9a75c164958578a","60201dea606b8d5e5aa9e528","6020225cef1d8d5ade433343","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 Edg/88.0.705.63","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a80.wav","spherical","20","1","1","matched","80","80","1276"
"echo-presentation","13","181248","0.0-13.0","5f3d8b0bd9a75c164958578a","60201dea606b8d5e5aa9e528","6020225cef1d8d5ade433343","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 Edg/88.0.705.63","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a70.wav","spherical","20","1","1","matched","70","80","1445"
"echo-presentation","14","183424","0.0-14.0","5f3d8b0bd9a75c164958578a","60201dea606b8d5e5aa9e528","6020225cef1d8d5ade433343","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 Edg/88.0.705.63","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a50.wav","spherical","20","1","1","matched","50","80","1030"
"echo-presentation","15","185678","0.0-15.0","5f3d8b0bd9a75c164958578a","60201dea606b8d5e5aa9e528","6020225cef1d8d5ade433343","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 Edg/88.0.705.63","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a60.wav","spherical","20","1","1","matched","60","80","1351"
"echo-presentation","16","187716","0.0-16.0","5f3d8b0bd9a75c164958578a","60201dea606b8d5e5aa9e528","6020225cef1d8d5ade433343","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 Edg/88.0.705.63","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a40.wav","spherical","20","1","1","matched","40","80","967"
"echo-presentation","17","189858","0.0-17.0","5f3d8b0bd9a75c164958578a","60201dea606b8d5e5aa9e528","6020225cef1d8d5ade433343","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 Edg/88.0.705.63","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a40.wav","spherical","20","1","1","matched","40","80","1199"
"echo-presentation","18","191940","0.0-18.0","5f3d8b0bd9a75c164958578a","60201dea606b8d5e5aa9e528","6020225cef1d8d5ade433343","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 Edg/88.0.705.63","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a50.wav","spherical","20","1","1","matched","50","80","1069"
