"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","2","0.0-0.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","4594","0.0-1.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","4591.394999995828","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","40","","","","","","","","","","","","","",""
"consent-form","2","58550","0.0-2.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"keyset-select","3","96980","0.0-3.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","171381","0.0-4.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","0","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","178630","0.0-5.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","0","","","","","","","","","","","",""
"training","6","268905","0.0-6.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"block-bookend","7","286616","0.0-7.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"echo-presentation","8","298613","0.0-8.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","20","9310"
"echo-presentation","9","304326","0.0-9.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","20","3103"
"echo-presentation","10","311257","0.0-10.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","-10","4822"
"echo-presentation","11","315599","0.0-11.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-20","1662"
"echo-presentation","12","324328","0.0-12.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","-10","5575"
"echo-presentation","13","332316","0.0-13.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","-20","5191"
"echo-presentation","14","338855","0.0-14.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","0","4975"
"echo-presentation","15","343481","0.0-15.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","10","3102"
"echo-presentation","16","347320","0.0-16.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-20","1991"
"echo-presentation","17","350780","0.0-17.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","-10","2160"
"echo-presentation","18","353904","0.0-18.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-20","1591"
"echo-presentation","19","357107","0.0-19.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-20","1727"
"echo-presentation","20","361917","0.0-20.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","-20","3070"
"echo-presentation","21","366279","0.0-21.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","-10","2855"
"echo-presentation","22","373379","0.0-22.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","-10","4919"
"echo-presentation","23","377608","0.0-23.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","-20","2086"
"echo-presentation","24","384796","0.0-24.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","10","5127"
"echo-presentation","25","388845","0.0-25.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","10","2527"
"echo-presentation","26","395866","0.0-26.0","5f3f0a2bbc64cf1fe881c7ba","5fef55e628823a0076ec12ee","601f4475a5824c47ab598584","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","0","3222"
