"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","6","0.0-0.0","5f463b6fff834e000b9d679c","60201dea606b8d5e5aa9e528","6020226372486e5ea98a62d9","Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","1461","0.0-1.0","5f463b6fff834e000b9d679c","60201dea606b8d5e5aa9e528","6020226372486e5ea98a62d9","Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","1454.2649999493733","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","32","","","","","","","","","","","","","",""
"consent-form","2","61707","0.0-2.0","5f463b6fff834e000b9d679c","60201dea606b8d5e5aa9e528","6020226372486e5ea98a62d9","Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","93074","0.0-3.0","5f463b6fff834e000b9d679c","60201dea606b8d5e5aa9e528","6020226372486e5ea98a62d9","Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","181726","0.0-4.0","5f463b6fff834e000b9d679c","60201dea606b8d5e5aa9e528","6020226372486e5ea98a62d9","Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","1","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","190810","0.0-5.0","5f463b6fff834e000b9d679c","60201dea606b8d5e5aa9e528","6020226372486e5ea98a62d9","Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","274501","0.0-6.0","5f463b6fff834e000b9d679c","60201dea606b8d5e5aa9e528","6020226372486e5ea98a62d9","Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","283734","0.0-7.0","5f463b6fff834e000b9d679c","60201dea606b8d5e5aa9e528","6020226372486e5ea98a62d9","Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","291751","0.0-8.0","5f463b6fff834e000b9d679c","60201dea606b8d5e5aa9e528","6020226372486e5ea98a62d9","Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a0.wav","spherical","20","1","1","matched","0","0","5949"
"echo-presentation","9","295927","0.0-9.0","5f463b6fff834e000b9d679c","60201dea606b8d5e5aa9e528","6020226372486e5ea98a62d9","Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-10.wav","spherical","20","1","1","matched","-10","-20","1651"
