"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","11","0.0-0.0","5f4bd2bc2619997c752dffe0","5fef55e628823a0076ec12ee","601f447bf99897496d78a100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","1940","0.0-1.0","5f4bd2bc2619997c752dffe0","5fef55e628823a0076ec12ee","601f447bf99897496d78a100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","1927.9899999964982","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","13","","","","","","","","","","","","","",""
"consent-form","2","67149","0.0-2.0","5f4bd2bc2619997c752dffe0","5fef55e628823a0076ec12ee","601f447bf99897496d78a100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"keyset-select","3","122159","0.0-3.0","5f4bd2bc2619997c752dffe0","5fef55e628823a0076ec12ee","601f447bf99897496d78a100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","right-hand","","","","","","","","","","","","",""
"headphone-check","4","197202","0.0-4.0","5f4bd2bc2619997c752dffe0","5fef55e628823a0076ec12ee","601f447bf99897496d78a100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","1","6","0.7","","","","","","","","","",""
"headphone-backwards-check","5","221290","0.0-5.0","5f4bd2bc2619997c752dffe0","5fef55e628823a0076ec12ee","601f447bf99897496d78a100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","0","","","","","","","","","","","",""
"training","6","385407","0.0-6.0","5f4bd2bc2619997c752dffe0","5fef55e628823a0076ec12ee","601f447bf99897496d78a100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"block-bookend","7","404880","0.0-7.0","5f4bd2bc2619997c752dffe0","5fef55e628823a0076ec12ee","601f447bf99897496d78a100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"echo-presentation","8","416081","0.0-8.0","5f4bd2bc2619997c752dffe0","5fef55e628823a0076ec12ee","601f447bf99897496d78a100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","0","3883"
"echo-presentation","9","420430","0.0-9.0","5f4bd2bc2619997c752dffe0","5fef55e628823a0076ec12ee","601f447bf99897496d78a100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","0","2775"
"echo-presentation","10","423754","0.0-10.0","5f4bd2bc2619997c752dffe0","5fef55e628823a0076ec12ee","601f447bf99897496d78a100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-10","1304"
"echo-presentation","11","426445","0.0-11.0","5f4bd2bc2619997c752dffe0","5fef55e628823a0076ec12ee","601f447bf99897496d78a100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","0","1536"
"echo-presentation","12","429542","0.0-12.0","5f4bd2bc2619997c752dffe0","5fef55e628823a0076ec12ee","601f447bf99897496d78a100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","0","1451"
"echo-presentation","13","432104","0.0-13.0","5f4bd2bc2619997c752dffe0","5fef55e628823a0076ec12ee","601f447bf99897496d78a100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","-10","975"
"echo-presentation","14","435477","0.0-14.0","5f4bd2bc2619997c752dffe0","5fef55e628823a0076ec12ee","601f447bf99897496d78a100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","0","935"
"echo-presentation","15","438490","0.0-15.0","5f4bd2bc2619997c752dffe0","5fef55e628823a0076ec12ee","601f447bf99897496d78a100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","10","820"
"echo-presentation","16","442894","0.0-16.0","5f4bd2bc2619997c752dffe0","5fef55e628823a0076ec12ee","601f447bf99897496d78a100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","20","2287"
"echo-presentation","17","445571","0.0-17.0","5f4bd2bc2619997c752dffe0","5fef55e628823a0076ec12ee","601f447bf99897496d78a100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","20","1503"
"echo-presentation","18","448010","0.0-18.0","5f4bd2bc2619997c752dffe0","5fef55e628823a0076ec12ee","601f447bf99897496d78a100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","20","1137"
"echo-presentation","19","452347","0.0-19.0","5f4bd2bc2619997c752dffe0","5fef55e628823a0076ec12ee","601f447bf99897496d78a100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","10","1900"
"echo-presentation","20","455653","0.0-20.0","5f4bd2bc2619997c752dffe0","5fef55e628823a0076ec12ee","601f447bf99897496d78a100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-10","1511"
"echo-presentation","21","460014","0.0-21.0","5f4bd2bc2619997c752dffe0","5fef55e628823a0076ec12ee","601f447bf99897496d78a100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","20","1898"
"echo-presentation","22","463294","0.0-22.0","5f4bd2bc2619997c752dffe0","5fef55e628823a0076ec12ee","601f447bf99897496d78a100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","10","2122"
