"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","3","0.0-0.0","5f4d2135061bf00dc540271b","60201dea606b8d5e5aa9e528","60202722bc36895c7a4820e2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","163293","0.0-1.0","5f4d2135061bf00dc540271b","60201dea606b8d5e5aa9e528","60202722bc36895c7a4820e2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","163289.5950000002","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","32","","","","","","","","","","","","","",""
"consent-form","2","217270","0.0-2.0","5f4d2135061bf00dc540271b","60201dea606b8d5e5aa9e528","60202722bc36895c7a4820e2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","246354","0.0-3.0","5f4d2135061bf00dc540271b","60201dea606b8d5e5aa9e528","60202722bc36895c7a4820e2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","right-hand","","","","","","","","","","","","",""
"headphone-check","4","299663","0.0-4.0","5f4d2135061bf00dc540271b","60201dea606b8d5e5aa9e528","60202722bc36895c7a4820e2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","0","6","0.7","","","","","","","","","",""
"headphone-backwards-check","5","312708","0.0-5.0","5f4d2135061bf00dc540271b","60201dea606b8d5e5aa9e528","60202722bc36895c7a4820e2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","405925","0.0-6.0","5f4d2135061bf00dc540271b","60201dea606b8d5e5aa9e528","60202722bc36895c7a4820e2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","419661","0.0-7.0","5f4d2135061bf00dc540271b","60201dea606b8d5e5aa9e528","60202722bc36895c7a4820e2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","423099","0.0-8.0","5f4d2135061bf00dc540271b","60201dea606b8d5e5aa9e528","60202722bc36895c7a4820e2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-50.wav","spherical","20","1","1","matched","-50","-70","1598"
"echo-presentation","9","427607","0.0-9.0","5f4d2135061bf00dc540271b","60201dea606b8d5e5aa9e528","60202722bc36895c7a4820e2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-60.wav","spherical","20","1","1","matched","-60","-80","2069"
"echo-presentation","10","433451","0.0-10.0","5f4d2135061bf00dc540271b","60201dea606b8d5e5aa9e528","60202722bc36895c7a4820e2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-60.wav","spherical","20","1","1","matched","-60","-80","4574"
"echo-presentation","11","438554","0.0-11.0","5f4d2135061bf00dc540271b","60201dea606b8d5e5aa9e528","60202722bc36895c7a4820e2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-70.wav","spherical","20","1","1","matched","-70","-80","3919"
"echo-presentation","12","441931","0.0-12.0","5f4d2135061bf00dc540271b","60201dea606b8d5e5aa9e528","60202722bc36895c7a4820e2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-80.wav","spherical","20","1","1","matched","-80","-80","1950"
"echo-presentation","13","443909","0.0-13.0","5f4d2135061bf00dc540271b","60201dea606b8d5e5aa9e528","60202722bc36895c7a4820e2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-60.wav","spherical","20","1","1","matched","-60","-80","910"
"echo-presentation","14","447088","0.0-14.0","5f4d2135061bf00dc540271b","60201dea606b8d5e5aa9e528","60202722bc36895c7a4820e2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-40.wav","spherical","20","1","1","matched","-40","-80","2222"
"echo-presentation","15","449477","0.0-15.0","5f4d2135061bf00dc540271b","60201dea606b8d5e5aa9e528","60202722bc36895c7a4820e2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-50.wav","spherical","20","1","1","matched","-50","-80","1382"
