"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","3","0.0-0.0","5f524d871e17bf4c4fe7f146","60201dea606b8d5e5aa9e528","60202266e37c955ac51f7e14","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","5244","0.0-1.0","5f524d871e17bf4c4fe7f146","60201dea606b8d5e5aa9e528","60202266e37c955ac51f7e14","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","5239","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","13","","","","","","","","","","","","","",""
"consent-form","2","28213","0.0-2.0","5f524d871e17bf4c4fe7f146","60201dea606b8d5e5aa9e528","60202266e37c955ac51f7e14","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","44886","0.0-3.0","5f524d871e17bf4c4fe7f146","60201dea606b8d5e5aa9e528","60202266e37c955ac51f7e14","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","112482","0.0-4.0","5f524d871e17bf4c4fe7f146","60201dea606b8d5e5aa9e528","60202266e37c955ac51f7e14","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","0","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","128604","0.0-5.0","5f524d871e17bf4c4fe7f146","60201dea606b8d5e5aa9e528","60202266e37c955ac51f7e14","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","191354","0.0-6.0","5f524d871e17bf4c4fe7f146","60201dea606b8d5e5aa9e528","60202266e37c955ac51f7e14","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","208779","0.0-7.0","5f524d871e17bf4c4fe7f146","60201dea606b8d5e5aa9e528","60202266e37c955ac51f7e14","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","214839","0.0-8.0","5f524d871e17bf4c4fe7f146","60201dea606b8d5e5aa9e528","60202266e37c955ac51f7e14","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-60.wav","spherical","20","1","1","matched","-60","-70","2861"
"echo-presentation","9","217757","0.0-9.0","5f524d871e17bf4c4fe7f146","60201dea606b8d5e5aa9e528","60202266e37c955ac51f7e14","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-60.wav","spherical","20","1","1","matched","-60","-70","1495"
"echo-presentation","10","220269","0.0-10.0","5f524d871e17bf4c4fe7f146","60201dea606b8d5e5aa9e528","60202266e37c955ac51f7e14","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-40.wav","spherical","20","1","1","matched","-40","-80","1315"
"echo-presentation","11","222895","0.0-11.0","5f524d871e17bf4c4fe7f146","60201dea606b8d5e5aa9e528","60202266e37c955ac51f7e14","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-80.wav","spherical","20","1","1","matched","-80","-60","1466"
"echo-presentation","12","228820","0.0-12.0","5f524d871e17bf4c4fe7f146","60201dea606b8d5e5aa9e528","60202266e37c955ac51f7e14","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-50.wav","spherical","20","1","1","matched","-50","-70","4461"
"echo-presentation","13","230874","0.0-13.0","5f524d871e17bf4c4fe7f146","60201dea606b8d5e5aa9e528","60202266e37c955ac51f7e14","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-40.wav","spherical","20","1","1","matched","-40","-60","925"
