"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","3","0.0-0.0","5f5c2c3e564c56422ca91c12","5fef55e628823a0076ec12ee","601f4479f47e0a46d39974ce","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","12332","0.0-1.0","5f5c2c3e564c56422ca91c12","5fef55e628823a0076ec12ee","601f4479f47e0a46d39974ce","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","12328.299999935552","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","32","","","","","","","","","","","","","",""
"consent-form","2","60013","0.0-2.0","5f5c2c3e564c56422ca91c12","5fef55e628823a0076ec12ee","601f4479f47e0a46d39974ce","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"keyset-select","3","84749","0.0-3.0","5f5c2c3e564c56422ca91c12","5fef55e628823a0076ec12ee","601f4479f47e0a46d39974ce","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","138841","0.0-4.0","5f5c2c3e564c56422ca91c12","5fef55e628823a0076ec12ee","601f4479f47e0a46d39974ce","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","0","6","0.7","","","","","","","","","",""
"headphone-backwards-check","5","146791","0.0-5.0","5f5c2c3e564c56422ca91c12","5fef55e628823a0076ec12ee","601f4479f47e0a46d39974ce","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","0","","","","","","","","","","","",""
"training","6","215167","0.0-6.0","5f5c2c3e564c56422ca91c12","5fef55e628823a0076ec12ee","601f4479f47e0a46d39974ce","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"block-bookend","7","226400","0.0-7.0","5f5c2c3e564c56422ca91c12","5fef55e628823a0076ec12ee","601f4479f47e0a46d39974ce","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"echo-presentation","8","231580","0.0-8.0","5f5c2c3e564c56422ca91c12","5fef55e628823a0076ec12ee","601f4479f47e0a46d39974ce","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","-20","2013"
"echo-presentation","9","234269","0.0-9.0","5f5c2c3e564c56422ca91c12","5fef55e628823a0076ec12ee","601f4479f47e0a46d39974ce","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-20","1346"
