"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","3","0.0-0.0","5f6734b21949ab2fdc3bdd5a","5fef55e628823a0076ec12ee","602014e4cf8c485c8fd0cae1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","40997","0.0-1.0","5f6734b21949ab2fdc3bdd5a","5fef55e628823a0076ec12ee","602014e4cf8c485c8fd0cae1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","40993.08000000019","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","32","","","","","","","","","","","","","",""
"consent-form","2","227151","0.0-2.0","5f6734b21949ab2fdc3bdd5a","5fef55e628823a0076ec12ee","602014e4cf8c485c8fd0cae1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","255118","0.0-3.0","5f6734b21949ab2fdc3bdd5a","5fef55e628823a0076ec12ee","602014e4cf8c485c8fd0cae1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","319523","0.0-4.0","5f6734b21949ab2fdc3bdd5a","5fef55e628823a0076ec12ee","602014e4cf8c485c8fd0cae1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","","","","","0","6","0.7","","","","","","","","","",""
"headphone-backwards-check","5","331876","0.0-5.0","5f6734b21949ab2fdc3bdd5a","5fef55e628823a0076ec12ee","602014e4cf8c485c8fd0cae1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","416242","0.0-6.0","5f6734b21949ab2fdc3bdd5a","5fef55e628823a0076ec12ee","602014e4cf8c485c8fd0cae1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","428275","0.0-7.0","5f6734b21949ab2fdc3bdd5a","5fef55e628823a0076ec12ee","602014e4cf8c485c8fd0cae1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","433542","0.0-8.0","5f6734b21949ab2fdc3bdd5a","5fef55e628823a0076ec12ee","602014e4cf8c485c8fd0cae1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-80.wav","spherical","20","20","full","matched","-80","-80","2451"
"echo-presentation","9","440294","0.0-9.0","5f6734b21949ab2fdc3bdd5a","5fef55e628823a0076ec12ee","602014e4cf8c485c8fd0cae1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-80.wav","spherical","20","20","full","matched","-80","-80","5267"
"echo-presentation","10","443187","0.0-10.0","5f6734b21949ab2fdc3bdd5a","5fef55e628823a0076ec12ee","602014e4cf8c485c8fd0cae1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-40.wav","spherical","20","20","full","matched","-40","-70","1602"
"echo-presentation","11","446718","0.0-11.0","5f6734b21949ab2fdc3bdd5a","5fef55e628823a0076ec12ee","602014e4cf8c485c8fd0cae1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-70.wav","spherical","20","20","full","matched","-70","-70","2000"
"echo-presentation","12","450369","0.0-12.0","5f6734b21949ab2fdc3bdd5a","5fef55e628823a0076ec12ee","602014e4cf8c485c8fd0cae1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-50.wav","spherical","20","20","full","matched","-50","-70","2264"
"echo-presentation","13","453295","0.0-13.0","5f6734b21949ab2fdc3bdd5a","5fef55e628823a0076ec12ee","602014e4cf8c485c8fd0cae1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-40.wav","spherical","20","20","full","matched","-40","-70","1868"
"echo-presentation","14","458104","0.0-14.0","5f6734b21949ab2fdc3bdd5a","5fef55e628823a0076ec12ee","602014e4cf8c485c8fd0cae1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-70.wav","spherical","20","20","full","matched","-70","-70","3496"
"echo-presentation","15","461468","0.0-15.0","5f6734b21949ab2fdc3bdd5a","5fef55e628823a0076ec12ee","602014e4cf8c485c8fd0cae1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-70.wav","spherical","20","20","full","matched","-70","-60","2253"
"echo-presentation","16","464944","0.0-16.0","5f6734b21949ab2fdc3bdd5a","5fef55e628823a0076ec12ee","602014e4cf8c485c8fd0cae1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-40.wav","spherical","20","20","full","matched","-40","-60","2604"
"echo-presentation","17","468739","0.0-17.0","5f6734b21949ab2fdc3bdd5a","5fef55e628823a0076ec12ee","602014e4cf8c485c8fd0cae1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36 OPR/72.0.3815.487","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-60.wav","spherical","20","20","full","matched","-60","-80","2672"
