"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","3","0.0-0.0","5f76198ba661c70678e69b98","5fef55e628823a0076ec12ee","601f44777d1dc9494ba3aa8d","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","3659","0.0-1.0","5f76198ba661c70678e69b98","5fef55e628823a0076ec12ee","601f44777d1dc9494ba3aa8d","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","3653.745000017807","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","32","","","","","","","","","","","","","",""
"consent-form","2","8839","0.0-2.0","5f76198ba661c70678e69b98","5fef55e628823a0076ec12ee","601f44777d1dc9494ba3aa8d","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","","","","","","","","","",""
"keyset-select","3","11576","0.0-3.0","5f76198ba661c70678e69b98","5fef55e628823a0076ec12ee","601f44777d1dc9494ba3aa8d","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","57239","0.0-4.0","5f76198ba661c70678e69b98","5fef55e628823a0076ec12ee","601f44777d1dc9494ba3aa8d","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","0","6","0.7","","","","","","","","","",""
"headphone-backwards-check","5","67008","0.0-5.0","5f76198ba661c70678e69b98","5fef55e628823a0076ec12ee","601f44777d1dc9494ba3aa8d","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","0","","","","","","","","","","","",""
"training","6","200182","0.0-6.0","5f76198ba661c70678e69b98","5fef55e628823a0076ec12ee","601f44777d1dc9494ba3aa8d","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","","","","","","","","","",""
"block-bookend","7","216119","0.0-7.0","5f76198ba661c70678e69b98","5fef55e628823a0076ec12ee","601f44777d1dc9494ba3aa8d","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","","","","","","","","","",""
"echo-presentation","8","221750","0.0-8.0","5f76198ba661c70678e69b98","5fef55e628823a0076ec12ee","601f44777d1dc9494ba3aa8d","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a40.wav","spherical","20","20","full","matched","40","60","2508"
"echo-presentation","9","225572","0.0-9.0","5f76198ba661c70678e69b98","5fef55e628823a0076ec12ee","601f44777d1dc9494ba3aa8d","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a70.wav","spherical","20","20","full","matched","70","80","2038"
"echo-presentation","10","229922","0.0-10.0","5f76198ba661c70678e69b98","5fef55e628823a0076ec12ee","601f44777d1dc9494ba3aa8d","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a50.wav","spherical","20","20","full","matched","50","70","2623"
"echo-presentation","11","233473","0.0-11.0","5f76198ba661c70678e69b98","5fef55e628823a0076ec12ee","601f44777d1dc9494ba3aa8d","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a40.wav","spherical","20","20","full","matched","40","60","2184"
"echo-presentation","12","236508","0.0-12.0","5f76198ba661c70678e69b98","5fef55e628823a0076ec12ee","601f44777d1dc9494ba3aa8d","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a70.wav","spherical","20","20","full","matched","70","80","1587"
"echo-presentation","13","240645","0.0-13.0","5f76198ba661c70678e69b98","5fef55e628823a0076ec12ee","601f44777d1dc9494ba3aa8d","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a50.wav","spherical","20","20","full","matched","50","60","1915"
"echo-presentation","14","244079","0.0-14.0","5f76198ba661c70678e69b98","5fef55e628823a0076ec12ee","601f44777d1dc9494ba3aa8d","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a50.wav","spherical","20","20","full","matched","50","70","2113"
"echo-presentation","15","248090","0.0-15.0","5f76198ba661c70678e69b98","5fef55e628823a0076ec12ee","601f44777d1dc9494ba3aa8d","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a70.wav","spherical","20","20","full","matched","70","50","2972"
"echo-presentation","16","252051","0.0-16.0","5f76198ba661c70678e69b98","5fef55e628823a0076ec12ee","601f44777d1dc9494ba3aa8d","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.344","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a60.wav","spherical","20","20","full","matched","60","60","2114"
