"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","4","0.0-0.0","5f8825d4938a85280f506a83","5fef55e628823a0076ec12ee","601f44806f5fea47affb754d","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","2613","0.0-1.0","5f8825d4938a85280f506a83","5fef55e628823a0076ec12ee","601f44806f5fea47affb754d","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1","2609","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","87","","","","","","","","","","","","","",""
"consent-form","2","20100","0.0-2.0","5f8825d4938a85280f506a83","5fef55e628823a0076ec12ee","601f44806f5fea47affb754d","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1","","","","","","","","","","","","","","","","",""
"keyset-select","3","53939","0.0-3.0","5f8825d4938a85280f506a83","5fef55e628823a0076ec12ee","601f44806f5fea47affb754d","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","101380","0.0-4.0","5f8825d4938a85280f506a83","5fef55e628823a0076ec12ee","601f44806f5fea47affb754d","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1","","","","","0","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","107920","0.0-5.0","5f8825d4938a85280f506a83","5fef55e628823a0076ec12ee","601f44806f5fea47affb754d","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1","","","","","0","","","","","","","","","","","",""
"training","6","176004","0.0-6.0","5f8825d4938a85280f506a83","5fef55e628823a0076ec12ee","601f44806f5fea47affb754d","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1","","","","","","","","","","","","","","","","",""
"block-bookend","7","191748","0.0-7.0","5f8825d4938a85280f506a83","5fef55e628823a0076ec12ee","601f44806f5fea47affb754d","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1","","","","","","","","","","","","","","","","",""
"echo-presentation","8","201833","0.0-8.0","5f8825d4938a85280f506a83","5fef55e628823a0076ec12ee","601f44806f5fea47affb754d","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","10","6814"
"echo-presentation","9","205941","0.0-9.0","5f8825d4938a85280f506a83","5fef55e628823a0076ec12ee","601f44806f5fea47affb754d","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","10","2078"
