"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","3","0.0-0.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","2566","0.0-1.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","2562.659999995958","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","13","","","","","","","","","","","","","",""
"consent-form","2","11981","0.0-2.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","25015","0.0-3.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","right-hand","","","","","","","","","","","","",""
"headphone-check","4","69375","0.0-4.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","1","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","73879","0.0-5.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","141309","0.0-6.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","156701","0.0-7.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","161517","0.0-8.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-10","2398"
"echo-presentation","9","165345","0.0-9.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","0","2414"
"echo-presentation","10","169252","0.0-10.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","0","2398"
"echo-presentation","11","172507","0.0-11.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-20","2078"
"echo-presentation","12","175531","0.0-12.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","10","1838"
"echo-presentation","13","178689","0.0-13.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","10","1461"
"echo-presentation","14","181277","0.0-14.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","10","1454"
"echo-presentation","15","183841","0.0-15.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-10","1374"
"echo-presentation","16","186665","0.0-16.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","-20","1742"
"echo-presentation","17","189050","0.0-17.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","10","1398"
"echo-presentation","18","191461","0.0-18.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","-10","1286"
"echo-presentation","19","193634","0.0-19.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","-20","1198"
"echo-presentation","20","197466","0.0-20.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","0","2742"
"echo-presentation","21","199609","0.0-21.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","10","1150"
"echo-presentation","22","202009","0.0-22.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","20","1486"
"echo-presentation","23","204507","0.0-23.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","10","1390"
"echo-presentation","24","206890","0.0-24.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","0","1502"
"echo-presentation","25","209786","0.0-25.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","0","1726"
"echo-presentation","26","212532","0.0-26.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-20.wav","spherical","20","20","full","matched","-20","-20","1543"
"echo-presentation","27","215307","0.0-27.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","-20","1590"
"block-bookend","28","218349","0.0-28.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","29","223973","0.0-29.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","30","226458","0.0-30.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","0","1278"
"echo-presentation","31","229026","0.0-31.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","-10","1214"
"echo-presentation","32","232570","0.0-32.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a20.wav","spherical","20","20","full","matched","20","10","1877"
"echo-presentation","33","234545","0.0-33.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","0","1149"
"echo-presentation","34","236585","0.0-34.0","5f994d63dab1e6030839f627","5fef55e628823a0076ec12ee","602014e6caa62b5bee8a2316","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a-10.wav","spherical","20","20","full","matched","-10","-10","1118"
