"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","3","0.0-0.0","5f99dc8aa866bf0bf2d60f46","5fef55e628823a0076ec12ee","602014db8bce735864f10eb9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","1215","0.0-1.0","5f99dc8aa866bf0bf2d60f46","5fef55e628823a0076ec12ee","602014db8bce735864f10eb9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","1211.1450000084005","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","77","","","","","","","","","","","","","",""
"consent-form","2","5003","0.0-2.0","5f99dc8aa866bf0bf2d60f46","5fef55e628823a0076ec12ee","602014db8bce735864f10eb9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","6498","0.0-3.0","5f99dc8aa866bf0bf2d60f46","5fef55e628823a0076ec12ee","602014db8bce735864f10eb9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","40285","0.0-4.0","5f99dc8aa866bf0bf2d60f46","5fef55e628823a0076ec12ee","602014db8bce735864f10eb9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","0","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","46899","0.0-5.0","5f99dc8aa866bf0bf2d60f46","5fef55e628823a0076ec12ee","602014db8bce735864f10eb9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","178892","0.0-6.0","5f99dc8aa866bf0bf2d60f46","5fef55e628823a0076ec12ee","602014db8bce735864f10eb9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","227796","0.0-7.0","5f99dc8aa866bf0bf2d60f46","5fef55e628823a0076ec12ee","602014db8bce735864f10eb9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","234233","0.0-8.0","5f99dc8aa866bf0bf2d60f46","5fef55e628823a0076ec12ee","602014db8bce735864f10eb9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a80.wav","spherical","20","20","full","matched","80","50","3707"
"echo-presentation","9","237871","0.0-9.0","5f99dc8aa866bf0bf2d60f46","5fef55e628823a0076ec12ee","602014db8bce735864f10eb9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a60.wav","spherical","20","20","full","matched","60","50","1898"
"echo-presentation","10","241448","0.0-10.0","5f99dc8aa866bf0bf2d60f46","5fef55e628823a0076ec12ee","602014db8bce735864f10eb9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a70.wav","spherical","20","20","full","matched","70","40","2326"
"echo-presentation","11","244619","0.0-11.0","5f99dc8aa866bf0bf2d60f46","5fef55e628823a0076ec12ee","602014db8bce735864f10eb9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a50.wav","spherical","20","20","full","matched","50","60","1944"
