"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","3","0.0-0.0","5fb7aa66e80f073651b36132","60201dea606b8d5e5aa9e528","60201ebe3eb6e25d72273836","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","11685","0.0-1.0","5fb7aa66e80f073651b36132","60201dea606b8d5e5aa9e528","60201ebe3eb6e25d72273836","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","11681.404999981169","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","13","","","","","","","","","","","","","",""
"consent-form","2","18265","0.0-2.0","5fb7aa66e80f073651b36132","60201dea606b8d5e5aa9e528","60201ebe3eb6e25d72273836","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","47299","0.0-3.0","5fb7aa66e80f073651b36132","60201dea606b8d5e5aa9e528","60201ebe3eb6e25d72273836","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","125581","0.0-4.0","5fb7aa66e80f073651b36132","60201dea606b8d5e5aa9e528","60201ebe3eb6e25d72273836","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","0","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","133345","0.0-5.0","5fb7aa66e80f073651b36132","60201dea606b8d5e5aa9e528","60201ebe3eb6e25d72273836","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","248602","0.0-6.0","5fb7aa66e80f073651b36132","60201dea606b8d5e5aa9e528","60201ebe3eb6e25d72273836","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","265802","0.0-7.0","5fb7aa66e80f073651b36132","60201dea606b8d5e5aa9e528","60201ebe3eb6e25d72273836","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","285120","0.0-8.0","5fb7aa66e80f073651b36132","60201dea606b8d5e5aa9e528","60201ebe3eb6e25d72273836","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-40.wav","spherical","20","1","1","matched","-40","-40","12920"
"echo-presentation","9","290462","0.0-9.0","5fb7aa66e80f073651b36132","60201dea606b8d5e5aa9e528","60201ebe3eb6e25d72273836","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-80.wav","spherical","20","1","1","matched","-80","-80","1868"
