"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","2","0.0-0.0","5fce97c19dbaef11cb9b5600","5fef55e628823a0076ec12ee","601f446b20dda846d6753ad5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","13788","0.0-1.0","5fce97c19dbaef11cb9b5600","5fef55e628823a0076ec12ee","601f446b20dda846d6753ad5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","13785.594999993918","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","32","","","","","","","","","","","","","",""
"consent-form","2","47036","0.0-2.0","5fce97c19dbaef11cb9b5600","5fef55e628823a0076ec12ee","601f446b20dda846d6753ad5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"keyset-select","3","75774","0.0-3.0","5fce97c19dbaef11cb9b5600","5fef55e628823a0076ec12ee","601f446b20dda846d6753ad5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","133830","0.0-4.0","5fce97c19dbaef11cb9b5600","5fef55e628823a0076ec12ee","601f446b20dda846d6753ad5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","0","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","142427","0.0-5.0","5fce97c19dbaef11cb9b5600","5fef55e628823a0076ec12ee","601f446b20dda846d6753ad5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","0","","","","","","","","","","","",""
"training","6","236044","0.0-6.0","5fce97c19dbaef11cb9b5600","5fef55e628823a0076ec12ee","601f446b20dda846d6753ad5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"block-bookend","7","253956","0.0-7.0","5fce97c19dbaef11cb9b5600","5fef55e628823a0076ec12ee","601f446b20dda846d6753ad5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"echo-presentation","8","261012","0.0-8.0","5fce97c19dbaef11cb9b5600","5fef55e628823a0076ec12ee","601f446b20dda846d6753ad5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a50.wav","spherical","20","20","full","matched","50","50","3846"
"echo-presentation","9","265409","0.0-9.0","5fce97c19dbaef11cb9b5600","5fef55e628823a0076ec12ee","601f446b20dda846d6753ad5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a40.wav","spherical","20","20","full","matched","40","80","3007"
"echo-presentation","10","270499","0.0-10.0","5fce97c19dbaef11cb9b5600","5fef55e628823a0076ec12ee","601f446b20dda846d6753ad5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a50.wav","spherical","20","20","full","matched","50","60","3310"
"echo-presentation","11","273801","0.0-11.0","5fce97c19dbaef11cb9b5600","5fef55e628823a0076ec12ee","601f446b20dda846d6753ad5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a50.wav","spherical","20","20","full","matched","50","70","2030"
"echo-presentation","12","277073","0.0-12.0","5fce97c19dbaef11cb9b5600","5fef55e628823a0076ec12ee","601f446b20dda846d6753ad5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a70.wav","spherical","20","20","full","matched","70","40","2151"
"echo-presentation","13","282897","0.0-13.0","5fce97c19dbaef11cb9b5600","5fef55e628823a0076ec12ee","601f446b20dda846d6753ad5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a40.wav","spherical","20","20","full","matched","40","70","4679"
