"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","7","0.0-0.0","5fd4c0631786c12622a436b0","60242478c74f84097a222710","602425fba4f7f30974b590bb","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","3692","0.0-1.0","5fd4c0631786c12622a436b0","60242478c74f84097a222710","602425fba4f7f30974b590bb","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","3683.294999995269","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","70","","","","","","","","","","","","","",""
"consent-form","2","14253","0.0-2.0","5fd4c0631786c12622a436b0","60242478c74f84097a222710","602425fba4f7f30974b590bb","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","57602","0.0-3.0","5fd4c0631786c12622a436b0","60242478c74f84097a222710","602425fba4f7f30974b590bb","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","109196","0.0-4.0","5fd4c0631786c12622a436b0","60242478c74f84097a222710","602425fba4f7f30974b590bb","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","0","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","115562","0.0-5.0","5fd4c0631786c12622a436b0","60242478c74f84097a222710","602425fba4f7f30974b590bb","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","182882","0.0-6.0","5fd4c0631786c12622a436b0","60242478c74f84097a222710","602425fba4f7f30974b590bb","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","194482","0.0-7.0","5fd4c0631786c12622a436b0","60242478c74f84097a222710","602425fba4f7f30974b590bb","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","201154","0.0-8.0","5fd4c0631786c12622a436b0","60242478c74f84097a222710","602425fba4f7f30974b590bb","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a50.wav","spherical","20","10","half","matched","50","80","4212"
"echo-presentation","9","204464","0.0-9.0","5fd4c0631786c12622a436b0","60242478c74f84097a222710","602425fba4f7f30974b590bb","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a40.wav","spherical","20","10","half","matched","40","80","1499"
"echo-presentation","10","208402","0.0-10.0","5fd4c0631786c12622a436b0","60242478c74f84097a222710","602425fba4f7f30974b590bb","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a40.wav","spherical","20","10","half","matched","40","80","2799"
"echo-presentation","11","210785","0.0-11.0","5fd4c0631786c12622a436b0","60242478c74f84097a222710","602425fba4f7f30974b590bb","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a40.wav","spherical","20","10","half","matched","40","80","1307"
"echo-presentation","12","214594","0.0-12.0","5fd4c0631786c12622a436b0","60242478c74f84097a222710","602425fba4f7f30974b590bb","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a50.wav","spherical","20","10","half","matched","50","70","2724"
"echo-presentation","13","220565","0.0-13.0","5fd4c0631786c12622a436b0","60242478c74f84097a222710","602425fba4f7f30974b590bb","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a80.wav","spherical","20","10","half","matched","80","80","4443"
"echo-presentation","14","223572","0.0-14.0","5fd4c0631786c12622a436b0","60242478c74f84097a222710","602425fba4f7f30974b590bb","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a60.wav","spherical","20","10","half","matched","60","70","1860"
"echo-presentation","15","225866","0.0-15.0","5fd4c0631786c12622a436b0","60242478c74f84097a222710","602425fba4f7f30974b590bb","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a80.wav","spherical","20","10","half","matched","80","70","1266"
"echo-presentation","16","228406","0.0-16.0","5fd4c0631786c12622a436b0","60242478c74f84097a222710","602425fba4f7f30974b590bb","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a50.wav","spherical","20","10","half","matched","50","80","1617"
