"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","4","0.0-0.0","5feb726715b59bbd3c904409","60242478c74f84097a222710","602425cac133540885cf4dd4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","4682","0.0-1.0","5feb726715b59bbd3c904409","60242478c74f84097a222710","602425cac133540885cf4dd4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","4676.634999981616","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","32","","","","","","","","","","","","","",""
"consent-form","2","29409","0.0-2.0","5feb726715b59bbd3c904409","60242478c74f84097a222710","602425cac133540885cf4dd4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","59841","0.0-3.0","5feb726715b59bbd3c904409","60242478c74f84097a222710","602425cac133540885cf4dd4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","right-hand","","","","","","","","","","","","",""
"headphone-check","4","130689","0.0-4.0","5feb726715b59bbd3c904409","60242478c74f84097a222710","602425cac133540885cf4dd4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","1","6","1","","","","","","","","","",""
"headphone-backwards-check","5","138965","0.0-5.0","5feb726715b59bbd3c904409","60242478c74f84097a222710","602425cac133540885cf4dd4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","0","","","","","","","","","","","",""
"training","6","345135","0.0-6.0","5feb726715b59bbd3c904409","60242478c74f84097a222710","602425cac133540885cf4dd4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","379405","0.0-7.0","5feb726715b59bbd3c904409","60242478c74f84097a222710","602425cac133540885cf4dd4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","405267","0.0-8.0","5feb726715b59bbd3c904409","60242478c74f84097a222710","602425cac133540885cf4dd4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-10.wav","spherical","20","10","half","matched","-10","-10","18072"
"echo-presentation","9","416888","0.0-9.0","5feb726715b59bbd3c904409","60242478c74f84097a222710","602425cac133540885cf4dd4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a0.wav","spherical","20","10","half","matched","0","10","4089"
"echo-presentation","10","424903","0.0-10.0","5feb726715b59bbd3c904409","60242478c74f84097a222710","602425cac133540885cf4dd4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-20.wav","spherical","20","10","half","matched","-20","-20","2879"
