"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","3","0.0-0.0","5febda8badaa09d0c281c8c4","5fef55e628823a0076ec12ee","09nv031yp4ag","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","411","0.0-1.0","5febda8badaa09d0c281c8c4","5fef55e628823a0076ec12ee","09nv031yp4ag","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","407","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","32","","","","","","","","","","","","",""
"consent-form","2","2243","0.0-2.0","5febda8badaa09d0c281c8c4","5fef55e628823a0076ec12ee","09nv031yp4ag","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","","","","","","","","",""
"keyset-select","3","3742","0.0-3.0","5febda8badaa09d0c281c8c4","5fef55e628823a0076ec12ee","09nv031yp4ag","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","left-hand","","","","","","","","","","","",""
"headphone-check","4","6972","0.0-4.0","5febda8badaa09d0c281c8c4","5fef55e628823a0076ec12ee","09nv031yp4ag","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","0","-1","0.3","","","","","","","","",""
"headphone-backwards-check","5","46662","0.0-5.0","5febda8badaa09d0c281c8c4","5fef55e628823a0076ec12ee","09nv031yp4ag","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","4","","","","","","","","","","",""
"training","6","67704","0.0-6.0","5febda8badaa09d0c281c8c4","5fef55e628823a0076ec12ee","09nv031yp4ag","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","","","","","","","","",""
"block-bookend","7","70311","0.0-7.0","5febda8badaa09d0c281c8c4","5fef55e628823a0076ec12ee","09nv031yp4ag","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","","","","","","","","",""
"echo-presentation","8","73805","0.0-8.0","5febda8badaa09d0c281c8c4","5fef55e628823a0076ec12ee","09nv031yp4ag","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","-40,-35,-30,-25,-20","media/audio/stims/spherical_300cm_s12_c6_cd-half_matched_a-20.wav","12","6","half","matched","-20","-30","1631"
"echo-presentation","9","75866","0.0-9.0","5febda8badaa09d0c281c8c4","5fef55e628823a0076ec12ee","09nv031yp4ag","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","-40,-35,-30,-25,-20","media/audio/stims/spherical_300cm_s12_c6_cd-half_matched_a-20.wav","12","6","half","matched","-20","-35","1243"
"echo-presentation","10","78341","0.0-10.0","5febda8badaa09d0c281c8c4","5fef55e628823a0076ec12ee","09nv031yp4ag","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","-40,-35,-30,-25,-20","media/audio/stims/spherical_300cm_s12_c6_cd-half_matched_a-25.wav","12","6","half","matched","-25","-20","1665"
"echo-presentation","11","79868","0.0-11.0","5febda8badaa09d0c281c8c4","5fef55e628823a0076ec12ee","09nv031yp4ag","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","-40,-35,-30,-25,-20","media/audio/stims/spherical_300cm_s12_c6_cd-half_matched_a-40.wav","12","6","half","matched","-40","-30","715"
"echo-presentation","12","81455","0.0-12.0","5febda8badaa09d0c281c8c4","5fef55e628823a0076ec12ee","09nv031yp4ag","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","-40,-35,-30,-25,-20","media/audio/stims/spherical_300cm_s12_c6_cd-half_matched_a-35.wav","12","6","half","matched","-35","-25","599"
"echo-presentation","13","83005","0.0-13.0","5febda8badaa09d0c281c8c4","5fef55e628823a0076ec12ee","09nv031yp4ag","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","-40,-35,-30,-25,-20","media/audio/stims/spherical_300cm_s12_c6_cd-half_matched_a-25.wav","12","6","half","matched","-25","-35","657"
"echo-presentation","14","84588","0.0-14.0","5febda8badaa09d0c281c8c4","5fef55e628823a0076ec12ee","09nv031yp4ag","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","-40,-35,-30,-25,-20","media/audio/stims/spherical_300cm_s12_c6_cd-half_matched_a-30.wav","12","6","half","matched","-30","-25","973"
"echo-presentation","15","86080","0.0-15.0","5febda8badaa09d0c281c8c4","5fef55e628823a0076ec12ee","09nv031yp4ag","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:84.0) Gecko/20100101 Firefox/84.0","","","","","","","","-40,-35,-30,-25,-20","media/audio/stims/spherical_300cm_s12_c6_cd-half_matched_a-35.wav","12","6","half","matched","-35","-35","840"
