"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","4","0.0-0.0","5fed8f05e766bb017fbccc79","5fef55e628823a0076ec12ee","601f447d4bbde5497f884150","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","10219","0.0-1.0","5fed8f05e766bb017fbccc79","5fef55e628823a0076ec12ee","601f447d4bbde5497f884150","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","10214.414999994915","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","13","","","","","","","","","","","","","",""
"consent-form","2","22520","0.0-2.0","5fed8f05e766bb017fbccc79","5fef55e628823a0076ec12ee","601f447d4bbde5497f884150","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"keyset-select","3","51996","0.0-3.0","5fed8f05e766bb017fbccc79","5fef55e628823a0076ec12ee","601f447d4bbde5497f884150","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","141538","0.0-4.0","5fed8f05e766bb017fbccc79","5fef55e628823a0076ec12ee","601f447d4bbde5497f884150","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","0","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","148230","0.0-5.0","5fed8f05e766bb017fbccc79","5fef55e628823a0076ec12ee","601f447d4bbde5497f884150","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","0","","","","","","","","","","","",""
"training","6","213239","0.0-6.0","5fed8f05e766bb017fbccc79","5fef55e628823a0076ec12ee","601f447d4bbde5497f884150","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"block-bookend","7","225824","0.0-7.0","5fed8f05e766bb017fbccc79","5fef55e628823a0076ec12ee","601f447d4bbde5497f884150","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"echo-presentation","8","240160","0.0-8.0","5fed8f05e766bb017fbccc79","5fef55e628823a0076ec12ee","601f447d4bbde5497f884150","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a0.wav","spherical","20","20","full","matched","0","0","10913"
"echo-presentation","9","243346","0.0-9.0","5fed8f05e766bb017fbccc79","5fef55e628823a0076ec12ee","601f447d4bbde5497f884150","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","-10","1739"
"echo-presentation","10","248002","0.0-10.0","5fed8f05e766bb017fbccc79","5fef55e628823a0076ec12ee","601f447d4bbde5497f884150","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a10.wav","spherical","20","20","full","matched","10","10","3509"
