"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","5","0.0-0.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","1747","0.0-1.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","1741.3749999832362","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","32","","","","","","","","","","","","","",""
"consent-form","2","90682","0.0-2.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"keyset-select","3","146319","0.0-3.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","right-hand","","","","","","","","","","","","",""
"headphone-check","4","208847","0.0-4.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","0","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","269226","0.0-5.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","4","","","","","","","","","","","",""
"training","6","349196","0.0-6.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","7","362341","0.0-7.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","8","374525","0.0-8.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-10.wav","spherical","20","10","half","matched","-10","-10","6827"
"echo-presentation","9","380936","0.0-9.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-10.wav","spherical","20","10","half","matched","-10","0","4164"
"echo-presentation","10","386576","0.0-10.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a20.wav","spherical","20","10","half","matched","20","10","2208"
"echo-presentation","11","395317","0.0-11.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a0.wav","spherical","20","10","half","matched","0","10","6588"
"echo-presentation","12","400407","0.0-12.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a0.wav","spherical","20","10","half","matched","0","0","2960"
"echo-presentation","13","406197","0.0-13.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-20.wav","spherical","20","10","half","matched","-20","-10","4052"
"echo-presentation","14","413327","0.0-14.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-20.wav","spherical","20","10","half","matched","-20","0","4052"
"echo-presentation","15","420237","0.0-15.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a0.wav","spherical","20","10","half","matched","0","-10","5041"
"echo-presentation","16","424274","0.0-16.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a10.wav","spherical","20","10","half","matched","10","10","3032"
"echo-presentation","17","433885","0.0-17.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a10.wav","spherical","20","10","half","matched","10","20","8265"
"echo-presentation","18","439016","0.0-18.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a10.wav","spherical","20","10","half","matched","10","10","3026"
"echo-presentation","19","442135","0.0-19.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a20.wav","spherical","20","10","half","matched","20","10","1811"
"echo-presentation","20","445805","0.0-20.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-10.wav","spherical","20","10","half","matched","-10","-10","2571"
"echo-presentation","21","449954","0.0-21.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-20.wav","spherical","20","10","half","matched","-20","-10","2398"
"echo-presentation","22","454245","0.0-22.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a0.wav","spherical","20","10","half","matched","0","-10","3048"
"echo-presentation","23","459335","0.0-23.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-20.wav","spherical","20","10","half","matched","-20","10","4040"
"echo-presentation","24","463671","0.0-24.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-10.wav","spherical","20","10","half","matched","-10","-10","2761"
"echo-presentation","25","467016","0.0-25.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a20.wav","spherical","20","10","half","matched","20","10","1983"
"echo-presentation","26","473085","0.0-26.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a10.wav","spherical","20","10","half","matched","10","0","4528"
"echo-presentation","27","476244","0.0-27.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a20.wav","spherical","20","10","half","matched","20","10","1532"
"block-bookend","28","480003","0.0-28.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","29","489482","0.0-29.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","30","499096","0.0-30.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-10.wav","spherical","20","10","half","matched","-10","-10","5732"
"echo-presentation","31","503966","0.0-31.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a0.wav","spherical","20","10","half","matched","0","10","2979"
"echo-presentation","32","508661","0.0-32.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-20.wav","spherical","20","10","half","matched","-20","-10","3032"
"echo-presentation","33","511496","0.0-33.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a20.wav","spherical","20","10","half","matched","20","10","1360"
"echo-presentation","34","514396","0.0-34.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a10.wav","spherical","20","10","half","matched","10","10","1540"
"echo-presentation","35","517827","0.0-35.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-20.wav","spherical","20","10","half","matched","-20","-10","1525"
"echo-presentation","36","522082","0.0-36.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a10.wav","spherical","20","10","half","matched","10","20","3004"
"echo-presentation","37","524506","0.0-37.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a10.wav","spherical","20","10","half","matched","10","10","1290"
"echo-presentation","38","527434","0.0-38.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-20.wav","spherical","20","10","half","matched","-20","10","1697"
"echo-presentation","39","530235","0.0-39.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-10.wav","spherical","20","10","half","matched","-10","10","1644"
"echo-presentation","40","533356","0.0-40.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-10.wav","spherical","20","10","half","matched","-10","10","2027"
"echo-presentation","41","536266","0.0-41.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a10.wav","spherical","20","10","half","matched","10","10","1789"
"echo-presentation","42","539235","0.0-42.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a0.wav","spherical","20","10","half","matched","0","10","1827"
"echo-presentation","43","542856","0.0-43.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a0.wav","spherical","20","10","half","matched","0","10","2115"
"echo-presentation","44","546363","0.0-44.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a20.wav","spherical","20","10","half","matched","20","10","1158"
"echo-presentation","45","548775","0.0-45.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a0.wav","spherical","20","10","half","matched","0","0","1276"
"echo-presentation","46","553282","0.0-46.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-10.wav","spherical","20","10","half","matched","-10","0","3229"
"echo-presentation","47","556383","0.0-47.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a20.wav","spherical","20","10","half","matched","20","10","1844"
"echo-presentation","48","558762","0.0-48.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-20.wav","spherical","20","10","half","matched","-20","-10","1272"
"echo-presentation","49","561783","0.0-49.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a20.wav","spherical","20","10","half","matched","20","10","1943"
"block-bookend","50","564474","0.0-50.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","51","573010","0.0-51.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","52","578083","0.0-52.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a60.wav","spherical","20","10","half","matched","60","70","2486"
"echo-presentation","53","580413","0.0-53.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a50.wav","spherical","20","10","half","matched","50","70","975"
"echo-presentation","54","582593","0.0-54.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a80.wav","spherical","20","10","half","matched","80","70","1089"
"echo-presentation","55","585303","0.0-55.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a80.wav","spherical","20","10","half","matched","80","70","1444"
"echo-presentation","56","587393","0.0-56.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a80.wav","spherical","20","10","half","matched","80","60","1236"
"echo-presentation","57","589793","0.0-57.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a50.wav","spherical","20","10","half","matched","50","60","1185"
"echo-presentation","58","592533","0.0-58.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a70.wav","spherical","20","10","half","matched","70","60","1844"
"echo-presentation","59","594643","0.0-59.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a70.wav","spherical","20","10","half","matched","70","70","1175"
"echo-presentation","60","597233","0.0-60.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a60.wav","spherical","20","10","half","matched","60","70","1212"
"echo-presentation","61","600503","0.0-61.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a70.wav","spherical","20","10","half","matched","70","70","2231"
"echo-presentation","62","602953","0.0-62.0","601ffb441dc6d959b855eea5","60242478c74f84097a222710","602425f07617d1097dd589df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a60.wav","spherical","20","10","half","matched","60","70","1149"
