"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","1","0.0-0.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","39050","0.0-1.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","39047","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","76","","","","","","","","","","","","",""
"consent-form","2","369336","0.0-2.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","","","","","","","","",""
"keyset-select","3","415006","0.0-3.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","right-hand","","","","","","","","","","","",""
"headphone-check","4","507360","0.0-4.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","1","6","0.3","","","","","","","","",""
"headphone-backwards-check","5","536710","0.0-5.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","0","","","","","","","","","","",""
"training","6","763440","0.0-6.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","","","","","","","","",""
"block-bookend","7","770881","0.0-7.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","","","","","","","","",""
"echo-presentation","8","783363","0.0-8.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","50,55,60,65,70","media/audio/stims/spherical_300cm_s16_c8_cd-half_matched_a50.wav","16","8","half","matched","50","65","4623"
"echo-presentation","9","790954","0.0-9.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","50,55,60,65,70","media/audio/stims/spherical_300cm_s16_c8_cd-half_matched_a55.wav","16","8","half","matched","55","",""
"echo-presentation","10","795781","0.0-10.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","50,55,60,65,70","media/audio/stims/spherical_300cm_s16_c8_cd-half_matched_a50.wav","16","8","half","matched","50","65","2434"
"echo-presentation","11","803053","0.0-11.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","50,55,60,65,70","media/audio/stims/spherical_300cm_s16_c8_cd-half_matched_a60.wav","16","8","half","matched","60","70","3479"
"echo-presentation","12","809658","0.0-12.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","50,55,60,65,70","media/audio/stims/spherical_300cm_s16_c8_cd-half_matched_a65.wav","16","8","half","matched","65","65","3604"
"echo-presentation","13","816234","0.0-13.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","50,55,60,65,70","media/audio/stims/spherical_300cm_s16_c8_cd-half_matched_a65.wav","16","8","half","matched","65","55","3748"
"echo-presentation","14","823141","0.0-14.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","50,55,60,65,70","media/audio/stims/spherical_300cm_s16_c8_cd-half_matched_a55.wav","16","8","half","matched","55","60","3115"
"echo-presentation","15","830544","0.0-15.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","50,55,60,65,70","media/audio/stims/spherical_300cm_s16_c8_cd-half_matched_a70.wav","16","8","half","matched","70","70","3752"
"echo-presentation","16","837558","0.0-16.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","50,55,60,65,70","media/audio/stims/spherical_300cm_s16_c8_cd-half_matched_a60.wav","16","8","half","matched","60","",""
"echo-presentation","17","841357","0.0-17.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","50,55,60,65,70","media/audio/stims/spherical_300cm_s16_c8_cd-half_matched_a70.wav","16","8","half","matched","70","55","3184"
"block-bookend","18","851107","0.0-18.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","","","","","","","","",""
"block-bookend","19","858117","0.0-19.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","","","","","","","","",""
