participant_id,slowdown,compensation,sector,dist_positions,dist_degrees,d_prime
5eea402f14742d0999b3410e,20,1,left,1,10,0.6358269797145278
5eea402f14742d0999b3410e,20,1,left,1,10,0.45630076716534657
5eea402f14742d0999b3410e,20,1,left,1,10,0.0
5eea402f14742d0999b3410e,20,1,left,1,10,-0.2073772076649275
5eea402f14742d0999b3410e,20,1,left,1,10,0.0
5eea402f14742d0999b3410e,20,1,left,1,10,0.0
5eea402f14742d0999b3410e,20,1,left,1,10,0.0
5eea402f14742d0999b3410e,20,1,left,1,10,0.0
5eea402f14742d0999b3410e,20,1,left,2,20,2.659505006872356
5eea402f14742d0999b3410e,20,1,left,2,20,0.0
5eea402f14742d0999b3410e,20,1,left,2,20,0.6511129230862218
5eea402f14742d0999b3410e,20,1,left,2,20,0.0
5eea402f14742d0999b3410e,20,1,left,2,20,0.0
5eea402f14742d0999b3410e,20,1,left,2,20,2.659505006872356
5eea402f14742d0999b3410e,20,1,left,3,30,0.0
5eea402f14742d0999b3410e,20,1,left,3,30,0.0
5eea402f14742d0999b3410e,20,1,left,3,30,0.45630076716534657
5eea402f14742d0999b3410e,20,1,left,3,30,-0.5515075478187168
5eea402f14742d0999b3410e,20,1,left,4,40,0.0
5eea402f14742d0999b3410e,20,1,left,4,40,0.8962310991370332
5eea402f14742d0999b3410e,20,1,center,1,10,6.180464612335626
5eea402f14742d0999b3410e,20,1,center,1,10,0.5066942062715996
5eea402f14742d0999b3410e,20,1,center,1,10,3.090232306167813
5eea402f14742d0999b3410e,20,1,center,1,10,6.180464612335626
5eea402f14742d0999b3410e,20,1,center,1,10,0.0
5eea402f14742d0999b3410e,20,1,center,1,10,3.090232306167813
5eea402f14742d0999b3410e,20,1,center,1,10,-0.9044199726682494
5eea402f14742d0999b3410e,20,1,center,1,10,-0.464061355948157
5eea402f14742d0999b3410e,20,1,center,2,20,0.31863936396437514
5eea402f14742d0999b3410e,20,1,center,2,20,2.4157425559717316
5eea402f14742d0999b3410e,20,1,center,2,20,3.343579409303613
5eea402f14742d0999b3410e,20,1,center,2,20,0.4559306750609624
5eea402f14742d0999b3410e,20,1,center,2,20,6.180464612335626
5eea402f14742d0999b3410e,20,1,center,2,20,1.1503493803760079
5eea402f14742d0999b3410e,20,1,center,3,30,0.708504376904557
5eea402f14742d0999b3410e,20,1,center,3,30,2.3255226323814258
5eea402f14742d0999b3410e,20,1,center,3,30,3.343579409303613
5eea402f14742d0999b3410e,20,1,center,3,30,6.180464612335626
5eea402f14742d0999b3410e,20,1,center,4,40,0.4559306750609624
5eea402f14742d0999b3410e,20,1,center,4,40,3.343579409303613
