session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Hearing difficulties,Nationality,Sex,Student Status,Vision
6018ca4d4d91481d30323b85,5f2c8d4334a79d06cb136702,APPROVED,2021-02-02 03:43:08.955000,2021-02-02 03:53:54.827000,645.872,19,57,0,100,2021-02-07 00:47:44.668000,875DE059,Portugal,Portugal,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,No,Portugal,Male,Yes,Yes
6018ca540b15831cab9c3420,5f979d85f973911610677cd2,REJECTED,2021-02-02 03:43:16.670000,2021-02-02 03:46:45.882000,209.212,21,25,1,98,2021-02-11 00:05:37.126000,875DE059,Poland,Poland,Unemployed (and job seeking),,No,Poland,Male,Yes,Yes
6018cabd2151631cfa848a7e,5b27a45f0ec82d0001d22d33,APPROVED,2021-02-02 03:45:01.139000,2021-02-02 04:42:03.508000,3422.369,23,257,2,100,2021-02-11 00:05:53.337000,875DE059,Mexico,Mexico,Full-Time,Spanish,No,Mexico,Male,Yes,Yes
6018cad49b77d51cc391d407,5ffb5b3dc598145ab98eeea5,APPROVED,2021-02-02 03:45:24.360000,2021-02-02 03:56:35.874000,671.514,20,15,0,100,2021-02-11 00:05:54.068000,875DE059,Portugal,Portugal,Other,,No,Portugal,Male,Yes,Yes
6018cae08c91d51d28bc0915,5d9e617de7a6a5001463a37c,APPROVED,2021-02-02 03:45:36.759000,2021-02-02 03:55:20.623000,583.864,22,43,0,100,2021-02-07 00:48:03.911000,875DE059,Portugal,Portugal,Part-Time,Portuguese,No,Portugal,Male,No,Yes
6018cb20f9894e1c8dc13bb5,5f7d35e5ca866620d5ca38c9,APPROVED,2021-02-02 03:46:40.157000,2021-02-02 04:23:45.630000,2225.473,23,35,0,100,2021-02-02 04:23:46.737000,Manual Completion,Mexico,Mexico,Other,DATA EXPIRED,No,Mexico,Male,Yes,Yes
6018cb2641b8ff1c9a5120b5,5f4b1ba295b8186ec4901396,APPROVED,2021-02-02 03:46:46.271000,2021-02-02 04:01:28.375000,882.104,22,61,0,100,2021-02-07 00:47:59.874000,875DE059,Chile,Chile,Other,DATA EXPIRED,No,Chile,Male,Yes,Yes
6018cb2fe787cf1d155fcfc2,5c4a032ad5ef870001461898,APPROVED,2021-02-02 03:46:55.225000,2021-02-02 04:02:41.518000,946.293,29,246,0,100,2021-02-07 00:48:00.964000,875DE059,Latvia,Latvia,Other,Latvian,No,Latvia,Male,No,Yes
6018cb32c586911d7f87d842,5ab308940527ba0001c15a9f,APPROVED,2021-02-02 03:46:58.429000,2021-02-02 04:10:46.510000,1428.081,25,334,1,100,2021-02-07 00:48:02.083000,875DE059,Mexico,Mexico,Part-Time,Spanish,No,Mexico,Male,Yes,Yes
6018cb37e43e1a1d37b521d3,5d6092f01d7a3e0001d6a7f6,RETURNED,2021-02-02 03:48:14.238000,2021-02-02 03:50:14.011000,119.773,28,51,0,100,,875DE059,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
