session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Hearing difficulties,Nationality,Sex,Student Status,Vision
60201e958c09205e9b87311c,5c9166b614a676001791e025,APPROVED,2021-02-07 17:09:02.006000,2021-02-07 17:19:07.495000,605.489,26,102,1,100,2021-02-07 17:37:15.858000,875DE059,Portugal,Portugal,Full-Time,Portuguese,No,Portugal,Female,No,Yes
60201ea75d4be35b32e91ab8,5e582888ad019803dba551c4,APPROVED,2021-02-07 17:08:55.650000,2021-02-07 17:20:23.879000,688.229,20,80,1,100,2021-02-07 17:37:16.397000,875DE059,Portugal,Portugal,Other,Portuguese,No,Portugal,Male,Yes,Yes
60201ebc4bbde55dccc7fd57,5eea402f14742d0999b3410e,APPROVED,2021-02-07 17:09:16.015000,2021-02-07 17:31:16.237000,1320.222,19,70,1,100,2021-02-07 17:37:17.052000,875DE059,Poland,Poland,Other,Polish,No,Poland,Male,Yes,Yes
60201ebe3eb6e25d72273836,5fb7aa66e80f073651b36132,APPROVED,2021-02-07 17:09:18.850000,2021-02-07 17:19:42.050000,623.2,21,24,2,96,2021-02-07 17:37:17.539000,875DE059,Portugal,Portugal,Unemployed (and job seeking),DATA EXPIRED,No,Portugal,Male,Yes,Yes
6020225cef1d8d5ade433343,5f3d8b0bd9a75c164958578a,APPROVED,2021-02-07 17:24:44.745000,2021-02-07 18:06:08.397000,2483.652,18,60,3,98,2021-02-11 00:16:00.613000,875DE059,Hungary,Hungary,Other,DATA EXPIRED,No,Hungary,Male,Yes,Yes
6020225e0d24415c0056633a,5e6ceb91704ee129519e0964,TIMED-OUT,2021-02-07 17:24:46.292000,,1677925.852689,18,61,2,96,,,Poland,Poland,Unemployed (and job seeking),Polish,No,Poland,Male,Yes,Yes
6020225f30812d5d30a4d649,5d488733da9cb60001aa5895,APPROVED,2021-02-07 17:24:46.948000,2021-02-07 17:40:31.145000,944.197,21,58,0,100,2021-02-11 00:16:16.285000,875DE059,Poland,Poland,Other,Polish,No,Poland,Male,Yes,Yes
60202260bbecc35e6d85a850,5ee90152ce51c4136b6646cd,APPROVED,2021-02-07 17:24:48.060000,2021-02-07 17:37:37.765000,769.705,23,106,1,100,2021-02-07 17:39:39.576000,875DE059,Portugal,Portugal,Full-Time,Portuguese,No,Portugal,Male,Yes,Yes
6020226372486e5ea98a62d9,5f463b6fff834e000b9d679c,APPROVED,2021-02-07 17:24:50.967000,2021-02-07 17:34:40.506000,589.539,27,96,1,100,2021-02-11 00:16:23.232000,875DE059,Portugal,Portugal,Unemployed (and job seeking),DATA EXPIRED,No,Portugal,Female,Yes,Yes
60202263b5301f5f1c89cd97,5f99e55c81b1880c03f6a7b2,REJECTED,2021-02-07 17:24:51.488000,2021-02-07 17:45:01.663000,1210.175,,46,3,96,2021-02-11 00:16:30.900000,NOCODE,Poland,Poland,Other,DATA EXPIRED,No,Poland,Male,Yes,Yes
60202265ea41df5cf8361f8a,5fb8e2a3f7e7376763a21165,REJECTED,2021-02-07 17:24:53.279000,2021-02-07 17:35:46.019000,652.74,28,34,2,96,2021-02-11 00:17:12.117000,875DE059,Poland,Poland,Full-Time,DATA EXPIRED,No,Poland,Male,No,Yes
60202266e37c955ac51f7e14,5f524d871e17bf4c4fe7f146,APPROVED,2021-02-07 17:24:54.889000,2021-02-07 17:33:17.581000,502.692,19,69,0,100,2021-02-07 17:40:04.947000,875DE059,United States,Poland,Unemployed (and job seeking),DATA EXPIRED,No,Poland,Male,No,Yes
6020271ecaa62b5f5293ae07,5ee93a8aa43b042d2529faec,APPROVED,2021-02-07 17:45:02.665000,2021-02-07 17:55:17.894000,615.229,25,69,2,97,2021-02-11 00:17:25.224000,875DE059,Italy,Italy,Unemployed (and job seeking),Italian,No,Italy,Female,No,Yes
6020271f737cd75fd0886943,5daca079bf590700167f704d,APPROVED,2021-02-07 17:45:03.282000,2021-02-07 17:54:08.323000,545.041,20,164,3,99,2021-02-11 00:17:32.346000,875DE059,Poland,Poland,Part-Time,Polish,No,Poland,Male,Yes,Yes
60202722bc36895c7a4820e2,5f4d2135061bf00dc540271b,APPROVED,2021-02-07 17:45:06.001000,2021-02-07 17:59:10.910000,844.909,22,53,0,100,2021-02-11 00:17:38.505000,875DE059,Greece,Greece,Unemployed (and job seeking),DATA EXPIRED,No,Greece,Male,Yes,Yes
602027230cc9535cdc2364b9,5fa337a3e7413061a119282a,REJECTED,2021-02-07 17:45:07.805000,2021-02-07 17:49:05.140000,237.335,32,41,1,100,2021-02-11 00:18:11.540000,875DE059,Greece,Greece,Full-Time,DATA EXPIRED,No,Greece,Male,No,Yes
60202725a178895e16b776c1,6009ded729d8400a50dd70e0,APPROVED,2021-02-07 17:45:09.966000,2021-02-07 18:00:21.817000,911.851,19,17,0,100,2021-02-11 00:18:29.508000,875DE059,Italy,Italy,Unemployed (and job seeking),,No,Italy,Male,Yes,Yes
602031b0101ae060442ef79c,5e5f992a9efbca000beac9df,APPROVED,2021-02-07 18:30:08.479000,2021-02-07 18:40:47.875000,639.396,19,135,4,98,2021-02-11 00:18:35.796000,875DE059,Romania,Spain,"Not in paid work (e.g. homemaker', 'retired or disabled)",Romanian,No,Romania,Male,Yes,Yes
