session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Hearing difficulties,Nationality,Sex,Student Status,Vision
602425cac133540885cf4dd4,5feb726715b59bbd3c904409,APPROVED,2021-02-10 18:29:11.157000,2021-02-10 18:54:18.359000,1507.202,21,10,0,100,2021-02-11 00:20:43.941000,875DE059,Mexico,Mexico,Unemployed (and job seeking),DATA EXPIRED,No,Mexico,Male,Yes,Yes
602425d69c8de90982d6a74b,5e328fc0a7365325cc819dae,APPROVED,2021-02-10 18:31:02.416000,2021-02-10 18:42:21.914000,679.498,27,131,2,98,2021-02-11 00:20:49.447000,875DE059,Philippines,United Kingdom,Full-Time,Tagalog-Filipino,No,Philippines,Female,No,Yes
602425d86a1906090170d249,6011c386e6bbae1715460706,RETURNED,2021-02-10 18:28:44.768000,2021-02-10 18:29:22.294000,37.526,26,1,1,87,,Hgfg,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
602425e8ed25c20987fe9ee2,5f8ebfe2e2f7200503ff0b93,REJECTED,2021-02-10 18:28:56.132000,2021-02-10 18:31:40.181000,164.049,20,42,2,96,2021-02-11 00:20:01.754000,875DE059,Portugal,Portugal,Other,DATA EXPIRED,No,Portugal,Female,Yes,Yes
602425f07617d1097dd589df,601ffb441dc6d959b855eea5,APPROVED,2021-02-10 18:29:43.926000,2021-02-10 18:44:01.516000,857.59,19,6,0,100,2021-02-11 00:20:38.641000,875DE059,Portugal,Portugal,Other,,No,Portugal,Female,Yes,Yes
602425fba4f7f30974b590bb,5fd4c0631786c12622a436b0,APPROVED,2021-02-10 18:29:38.741000,2021-02-10 18:38:03.403000,504.662,19,16,0,100,2021-02-11 00:21:00.043000,875DE059,Poland,Poland,Full-Time,DATA EXPIRED,No,Poland,Male,Yes,Yes
602425ff409736097464bbb0,5de3fa3c81d8213fc6792131,APPROVED,2021-02-10 18:29:22.280000,2021-02-10 18:40:01.664000,639.384,22,58,0,100,2021-02-11 00:21:07.677000,875DE059,Spain,Spain,Unemployed (and job seeking),Spanish,No,Spain,Female,Yes,Yes
602426131c396e09659d9a79,5ff38e69069e3b9479098511,RETURNED,2021-02-10 18:29:43.413000,,1414817.109147,21,11,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60242620be52460970dfba39,5c9536793ae6fe0015ad8f0b,APPROVED,2021-02-10 18:29:56.660000,2021-02-10 18:46:45.080000,1008.42,23,126,3,98,2021-02-11 00:21:15.443000,875DE059,Greece,Greece,Unemployed (and job seeking),Greek,No,Greece,Male,Yes,Yes
6024262340973609e79f30b4,5e4a86e5b26b054da51ab9cb,REJECTED,2021-02-10 18:30:02.064000,2021-02-10 18:39:14.317000,552.253,19,31,2,98,2021-02-11 00:21:51.531000,875DE059,Netherlands,Netherlands,Unemployed (and job seeking),Dutch,No,Netherlands,Female,Yes,Yes
602426414e3fcc091244ba83,5e938e072a4ce9077f8157b9,REJECTED,2021-02-10 18:33:45.004000,2021-02-10 18:38:44.735000,299.731,21,125,2,99,2021-02-11 00:22:12.518000,875DE059,Mexico,Mexico,Full-Time,English,No,Mexico,Female,Yes,Yes
6024264d26597c0808f8713e,5ac48ded5cd1050001622c4a,APPROVED,2021-02-10 18:30:37.410000,2021-02-10 18:42:37.975000,720.565,24,216,1,100,2021-02-11 00:22:32.030000,875DE059,Portugal,Portugal,Unemployed (and job seeking),Portuguese,No,Portugal,Female,No,Yes
6024264f87a85308f926ff70,5ee7bd3c89b70a07344ad24c,REJECTED,2021-02-10 18:30:42.083000,2021-02-10 18:32:36.883000,114.8,19,35,1,100,2021-02-11 00:22:22.682000,875DE059,Portugal,Portugal,Other,Portuguese,No,Portugal,Male,Yes,Yes
6024267c1f909a096f2a6447,5fa5b5af0c782d12315dfd32,APPROVED,2021-02-10 18:31:24.545000,2021-02-10 18:42:22.156000,657.611,20,36,2,97,2021-02-11 00:22:46.068000,875DE059,Poland,Poland,Unemployed (and job seeking),,No,Poland,Male,Yes,Yes
602426852b1c7209134d9540,5ef618993fecc70b5984e05c,APPROVED,2021-02-10 18:31:33.948000,2021-02-10 18:44:23.133000,769.185,24,63,0,100,2021-02-11 00:22:58.702000,875DE059,Portugal,Portugal,"Not in paid work (e.g. homemaker', 'retired or disabled)",Portuguese,No,Portugal,Female,Yes,Yes
6024271e6d5980099fc15125,5f6cf5c1a7717114223fcd3d,APPROVED,2021-02-10 18:34:14.391000,2021-02-10 18:50:30.507000,976.116,18,63,1,100,2021-02-11 00:23:06.786000,875DE059,United Kingdom,United Kingdom,Other,DATA EXPIRED,No,United Kingdom,Male,Yes,Yes
60242f29be52460bba7ccf62,6016c8e7ea3f2387ae8b47d5,APPROVED,2021-02-10 19:08:35.194000,2021-02-10 19:25:28.558000,1013.364,25,10,0,100,2021-02-11 00:23:16.528000,875DE059,Greece,Greece,Unemployed (and job seeking),DATA EXPIRED,No,Greece,Female,Yes,Yes
60242f2d58c3f60ae3046f07,5f2efc0a6408cf2c568a6fa8,AWAITING REVIEW,2021-02-10 19:08:29.914000,2021-02-10 19:11:15.017000,165.103,21,43,0,100,,875DE059,Mexico,Mexico,Part-Time,,No,Mexico,Male,Yes,Yes
602454802ddb13117d34001c,5f6664109b70ce119e08befe,AWAITING REVIEW,2021-02-10 21:47:44.042000,2021-02-10 21:50:39.291000,175.249,28,69,2,96,,875DE059,Greece,Greece,Full-Time,DATA EXPIRED,No,Greece,Male,Yes,Yes
6024548129b84312e511d361,5e2720de173db496168318c6,APPROVED,2021-02-10 21:47:45.579000,2021-02-10 22:04:29.782000,1004.203,23,109,0,100,2021-02-11 00:24:32.902000,875DE059,Poland,Poland,Unemployed (and job seeking),Polish,No,Poland,Male,Yes,Yes
