session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Hearing difficulties,Nationality,Sex,Student Status,Vision
6024761b96b493179eea37ed,5fc44d83862e3e79b02e0438,RETURNED,2021-02-11 00:11:07.466000,,1394321.139342,21,30,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6024762b4a60331854f88b85,5f49c8df951dbe415cf4d46e,APPROVED,2021-02-11 00:11:23.021000,2021-02-11 00:22:54.759000,691.738,22,61,1,100,2021-02-11 00:34:43.494000,875DE059,Monaco,Chile,Other,DATA EXPIRED,No,Chile,Male,Yes,Yes
6024762db8c05c180bd222d7,5e8b962507f0e10761c0e36d,REJECTED,2021-02-11 00:11:25.039000,2021-02-11 00:19:36.381000,491.342,27,79,1,100,2021-02-11 00:35:15.178000,875DE059,Mexico,Mexico,Part-Time,Spanish,No,Mexico,Male,Yes,Yes
60247638245172175bc472fb,5d00dddfbd66ed0019622060,APPROVED,2021-02-11 00:12:11.384000,2021-02-11 00:27:16.779000,905.395,24,178,1,100,2021-02-11 00:35:30.737000,875DE059,Portugal,Portugal,Unemployed (and job seeking),Portuguese,No,Portugal,Male,No,Yes
60247638474d09175c4e766d,5ee508de47f57808e6cff05d,APPROVED,2021-02-11 00:11:36.501000,2021-02-11 00:23:30.764000,714.263,26,59,2,97,2021-02-11 00:35:41.518000,875DE059,Poland,Poland,Unemployed (and job seeking),Polish,No,Poland,Male,No,Yes
6024764c503a9916c7287a35,5eaef181dd8b5e5d7d73f1a0,APPROVED,2021-02-11 00:11:59.195000,2021-02-11 00:24:00.744000,721.549,20,32,0,100,2021-02-11 00:35:54.281000,875DE059,Poland,Poland,Part-Time,Polish,No,Poland,Male,No,Yes
60247667144794175c844c73,5d1aab1fb8fd6c001834e939,APPROVED,2021-02-11 00:12:27.229000,2021-02-11 00:29:12.247000,1005.018,23,148,0,100,2021-02-11 00:36:02.049000,875DE059,Portugal,Portugal,Unemployed (and job seeking),Portuguese,No,Portugal,Male,Yes,Yes
6024766e44161e181ff0d4e4,5f6b76f22e4b9c070fb0653d,APPROVED,2021-02-11 00:12:47.458000,2021-02-11 00:27:06.305000,858.847,21,61,1,98,2021-02-11 00:36:07.868000,875DE059,United Kingdom,United Kingdom,Other,DATA EXPIRED,No,United Kingdom,Female,Yes,Yes
602476a7c63f76181c34561a,6004872aedefe55f45db71c7,RETURNED,2021-02-11 00:15:29.066000,2021-02-11 00:21:01.634000,332.568,40,7,0,100,,875DE059,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
602476b07cbcfe17b3d8303a,5f8d41fb88b469000bfd0264,REJECTED,2021-02-11 00:14:55.269000,2021-02-11 00:18:16.484000,201.215,22,29,2,95,2021-02-11 00:33:02.594000,875DE059,Italy,Italy,Other,DATA EXPIRED,No,Italy,Female,Yes,Yes
602476eacb1a90184f6c284f,5f9f0149e129f5503323c6a5,REJECTED,2021-02-11 00:14:34.008000,2021-02-11 00:17:30.868000,176.86,21,19,1,98,2021-02-11 00:33:10.391000,875DE059,Portugal,Portugal,Other,,No,Portugal,Female,No,Yes
602476ff7db8951797cef09e,5f9e580a30a3e740cc778b39,TIMED-OUT,2021-02-11 00:15:00.883000,,1394088.058039,22,5,0,100,,,Mexico,Mexico,Other,,No,Mexico,Female,Yes,Yes
6024771b5efbed1812e39928,5b67a58c9f127d0001df6a62,APPROVED,2021-02-11 00:15:36.234000,2021-02-11 00:27:10.908000,694.674,24,169,2,100,2021-02-11 00:36:34.973000,875DE059,Mexico,Mexico,Unemployed (and job seeking),Spanish,No,Mexico,Male,No,Yes
602477484f0a2b1750b05059,5f9b467563bac736326a455e,RETURNED,2021-02-11 00:16:08.560000,,1394020.448283,41,53,2,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6024774a99854717e4f1b48b,5ec87c830a3dec35f8eaf225,APPROVED,2021-02-11 00:16:10.716000,2021-02-11 00:26:23.911000,613.195,21,72,2,97,2021-02-11 00:36:41.171000,875DE059,Chile,Chile,Other,Spanish,No,Chile,Male,Yes,Yes
602477b4efd32a17ce812c0a,5e70d0eda615e9012232e8be,APPROVED,2021-02-11 00:20:02.969000,2021-02-11 00:38:04.564000,1081.595,26,27,0,100,2021-02-11 15:18:34.512000,875DE059,Romania,United Kingdom,Unemployed (and job seeking),Romanian,No,Romania,Female,No,Yes
602478d0e7026518dd63c119,5efa14450ea7fe7feedc45f8,RETURNED,2021-02-11 00:22:40.930000,,1393628.143717,19,96,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
602478e90592e218434fdb71,5e8e6d107da4b311f11e3d47,APPROVED,2021-02-11 00:24:28.496000,2021-02-11 00:34:12.294000,583.798,21,99,1,100,2021-02-11 00:37:02.438000,875DE059,Portugal,Portugal,Other,Portuguese,No,Portugal,Female,Yes,Yes
