session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Hearing difficulties,Nationality,Sex,Student Status,Vision
60254202d70700033b93012f,5f4505166c3874058681076f,RETURNED,2021-02-11 14:41:06.534000,,1342110.019875,30,34,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60254217b76504025f43da1d,5bfd6832bab673000163fe82,APPROVED,2021-02-11 14:41:30.613000,2021-02-11 14:58:13.771000,1003.158,22,139,1,100,2021-02-11 15:04:13.325000,875DE059,Portugal,Portugal,Other,Portuguese,No,Portugal,Female,Yes,Yes
602542281b58e2034ff4f202,5eb168a3c03c29253f361441,APPROVED,2021-02-11 14:41:44.742000,2021-02-11 14:55:22.932000,818.19,24,109,0,100,2021-02-11 15:04:18.427000,875DE059,Italy,Italy,Part-Time,Italian,No,Italy,Male,No,Yes
6025422ae75aa80343092b5b,5f4e5c20db9d8a01d477ec50,APPROVED,2021-02-11 14:41:46.117000,2021-02-11 14:51:42.189000,596.072,21,44,0,100,2021-02-11 15:04:23.214000,875DE059,Poland,Poland,Other,DATA EXPIRED,No,Poland,Male,Yes,Yes
6025422df5361f03c62a4720,5ee942381a22491bbb7170f8,REJECTED,2021-02-11 14:41:49.458000,2021-02-11 14:45:42.283000,232.825,20,14,1,94,2021-02-11 15:03:56.757000,875DE059,Chile,Chile,Unemployed (and job seeking),Spanish,No,Chile,Male,Yes,Yes
602542322e261d0345c58651,59e5a69916ecc200016fefdb,APPROVED,2021-02-11 14:41:54.077000,2021-02-11 14:58:11.267000,977.19,37,235,3,99,2021-02-11 15:04:30.721000,875DE059,Mexico,Mexico,Full-Time,Spanish,No,Mexico,Male,No,Yes
60254233a46afb02607849dc,5d7374ab99bf5b0018864719,APPROVED,2021-02-11 14:41:55.757000,2021-02-11 15:02:53.626000,1257.869,20,83,0,100,2021-02-11 15:04:35.485000,875DE059,Greece,Greece,Due to start a new job within the next month,Greek,No,Greece,Female,Yes,Yes
60254237f127f40254e06255,5e8bb1446a80c60905c99673,RETURNED,2021-02-11 14:45:44.780000,,1341831.95136,24,23,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60254239fb08c5034145b491,5e9f54ff5db8e90ab3ac5694,APPROVED,2021-02-11 14:42:01.895000,2021-02-11 15:13:55.770000,1913.875,20,100,1,100,2021-02-11 15:15:09.659000,875DE059,Poland,Poland,Other,Polish,No,Poland,Male,Yes,Yes
6025423dafa99a025cba65f8,5ed6d87f29cbdf02278b378d,APPROVED,2021-02-11 14:42:05.737000,2021-02-11 14:59:17.337000,1031.6,22,69,0,100,2021-02-11 15:04:41.908000,875DE059,Poland,Poland,Unemployed (and job seeking),Polish,No,Poland,Male,Yes,Yes
60254253a770da02ceb22331,5f9dc7cf9a848c33d0864aa7,REJECTED,2021-02-11 14:42:55.260000,2021-02-11 14:44:48.836000,113.576,23,25,1,99,2021-02-11 15:09:57.204000,875DE059,Poland,Poland,Unemployed (and job seeking),DATA EXPIRED,No,Poland,Female,Yes,Yes
6025425f0a3ed3033f83a98d,5f67974ecdcbc03a11421667,REJECTED,2021-02-11 14:42:39.112000,2021-02-11 14:44:49.922000,130.81,22,29,2,97,2021-02-11 15:10:05.971000,875DE059,Netherlands,Netherlands,Part-Time,,No,Netherlands,Male,Yes,Yes
6025426173830e0341c99355,5f62744d84c6fb19a14d688c,RETURNED,2021-02-11 14:42:40.951000,,1342015.904545,22,41,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60254265704fd203445a942f,5ecdcf72618acf1572f25962,APPROVED,2021-02-11 14:42:45.097000,2021-02-11 14:53:26.217000,641.12,23,126,0,100,2021-02-11 15:04:50.998000,875DE059,Mexico,Mexico,Full-Time,Spanish,No,Mexico,Male,Yes,Yes
6025448e38b55a02d685a324,5f1a9d34ca34901c30627696,REJECTED,2021-02-11 14:51:58.203000,2021-02-11 14:55:20.323000,202.12,35,75,1,100,2021-02-11 15:03:19.105000,875DE059,India,Japan,Unemployed (and job seeking),Tamil,No,India,Female,No,Yes
6025455c849348025c072b13,5f0af202ec6afa02e8db0daf,APPROVED,2021-02-11 14:55:24.247000,2021-02-11 15:12:29.505000,1025.258,20,74,1,99,2021-02-11 15:13:33.730000,875DE059,Poland,Poland,Full-Time,Polish,No,Poland,Female,Yes,Yes
602546193b3160044345460a,5e9cc130eb6b29000b962775,APPROVED,2021-02-11 14:58:33.324000,2021-02-11 15:10:32.683000,719.359,,73,1,100,2021-02-11 15:13:14.100000,875DE059,Poland,Poland,Other,Polish,No,Poland,Female,Yes,Yes
6025473f2894b204365e84d5,5fa30373f0aa8159dd2e5c14,APPROVED,2021-02-11 15:03:27.356000,2021-02-11 15:13:26.207000,598.851,19,46,0,100,2021-02-11 15:13:45.996000,875DE059,Portugal,Portugal,Other,DATA EXPIRED,No,Portugal,Male,Yes,Yes
6025475d38b55a04ae6884ac,5f19dfd666d72d092db69ed6,APPROVED,2021-02-11 15:03:57.595000,2021-02-11 15:16:41.846000,764.251,23,39,1,97,2021-02-11 15:19:23.002000,875DE059,Poland,Poland,Unemployed (and job seeking),Polish,No,Poland,Male,Yes,Yes
602548d010c4b0043aedd215,5dc05159dcc83f000b14841e,RETURNED,2021-02-11 15:10:08.757000,,1340368.288092,35,140,4,96,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
602548d2b47a1304a6af794b,5f28ac83bb6de221a20ab924,RETURNED,2021-02-11 15:10:10.079000,2021-02-11 15:11:51.641000,101.562,24,90,1,100,,875DE059,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60255fcb12642b09085b9e94,5cb9f77414b3cb0017f0323e,AWAITING REVIEW,2021-02-11 16:48:11.782000,2021-02-11 16:49:42.706000,90.924,20,43,2,94,,875DE059,Portugal,Portugal,Other,Portuguese,No,Portugal,Male,Yes,Yes
